time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,1.145916,-1.145916,0.056842,0.000000,0.971968
0.000500,1.142925,-5.981894,0.056842,0.000000,0.971968
0.001000,1.140091,-5.666510,0.056851,0.000000,0.971965
0.001500,1.137410,-5.362572,0.056860,0.000000,0.971963
0.002000,1.134875,-5.069753,0.056869,0.000000,0.971961
0.002500,1.132481,-4.787732,0.056878,0.000000,0.971958
0.003000,1.130223,-4.516197,0.056887,0.000000,0.971956
0.003500,1.128096,-4.254842,0.056896,0.000000,0.971953
0.004000,1.126094,-4.003368,0.056904,0.000000,0.971950
0.004500,1.124213,-3.761482,0.056913,0.000000,0.971948
0.005000,1.122449,-3.528900,0.056922,0.000000,0.971945
0.005500,1.120796,-3.306365,0.056931,0.000000,0.971942
0.006000,1.119249,-3.093560,0.056939,0.000000,0.971939
0.006500,1.117804,-2.890176,0.056948,0.000000,0.971936
0.007000,1.116456,-2.695912,0.056956,0.000000,0.971933
0.007500,1.115201,-2.510474,0.056965,0.000000,0.971930
0.008000,1.114034,-2.333577,0.056973,0.000000,0.971927
0.008500,1.112951,-2.164942,0.056982,0.000000,0.971924
0.009000,1.111949,-2.004297,0.056990,0.000000,0.971921
0.009500,1.111024,-1.851378,0.056998,0.000000,0.971918
0.010000,1.110171,-1.705927,0.057006,0.000000,0.971915
0.010500,1.109387,-1.567694,0.057015,0.000000,0.971912
0.011000,1.108669,-1.436434,0.057023,0.000000,0.971909
0.011500,1.108013,-1.311910,0.057031,0.000000,0.971906
0.012000,1.107416,-1.193891,0.057039,0.000000,0.971903
0.012500,1.106875,-1.082151,0.057047,0.000000,0.971900
0.013000,1.106386,-0.976471,0.057055,0.000000,0.971897
0.013500,1.105948,-0.876640,0.057063,0.000000,0.971894
0.014000,1.105557,-0.782449,0.057071,0.000000,0.971891
0.014500,1.105210,-0.693698,0.057079,0.000000,0.971888
0.015000,1.104905,-0.610191,0.057087,0.000000,0.971885
0.015500,1.104639,-0.531737,0.057095,0.000000,0.971882
0.016000,1.104410,-0.458153,0.057103,0.000000,0.971880
0.016500,1.104215,-0.389259,0.057111,0.000000,0.971877
0.017000,1.104053,-0.324879,0.057118,0.000000,0.971874
0.017500,1.103920,-0.264846,0.057126,0.000000,0.971871
0.018000,1.103816,-0.208995,0.057134,0.000000,0.971868
0.018500,1.103737,-0.157166,0.057141,0.000000,0.971866
0.019000,1.103683,-0.109205,0.057149,0.000000,0.971863
0.019500,1.103650,-0.064961,0.057157,0.000000,0.971861
0.020000,1.103638,-0.024288,0.057164,0.000000,0.971858
0.020500,1.103645,0.012954,0.057172,0.000000,0.971855
0.021000,1.103668,0.046902,0.057180,0.000000,0.971853
0.021500,1.103707,0.077690,0.057187,0.000000,0.971850
0.022000,1.103760,0.105445,0.057195,0.000000,0.971848
0.022500,1.103825,0.130294,0.057202,0.000000,0.971846
0.023000,1.103901,0.152356,0.057210,0.000000,0.971843
0.023500,1.103987,0.171748,0.057217,0.000000,0.971841
0.024000,1.104081,0.188584,0.057225,0.000000,0.971839
0.024500,1.104183,0.202973,0.057232,0.000000,0.971837
0.025000,1.104290,0.215021,0.057240,0.000000,0.971834
0.025500,1.104403,0.224832,0.057247,0.000000,0.971832
0.026000,1.104519,0.232504,0.057255,0.000000,0.971830
0.026500,1.104638,0.238133,0.057262,0.000000,0.971828
0.027000,1.104759,0.241812,0.057269,0.000000,0.971826
0.027500,1.104881,0.243630,0.057277,0.000000,0.971824
0.028000,1.105002,0.243676,0.057284,0.000000,0.971822
0.028500,1.105123,0.242031,0.057291,0.000000,0.971820
0.029000,1.105243,0.238777,0.057299,0.000000,0.971818
0.029500,1.105360,0.233992,0.057306,0.000000,0.971817
0.030000,1.105474,0.227752,0.057314,0.000000,0.971815
0.030500,1.105584,0.220128,0.057321,0.000000,0.971813
0.031000,1.105689,0.211192,0.057328,0.000000,0.971811
0.031500,1.105790,0.201010,0.057336,0.000000,0.971810
0.032000,1.105885,0.189648,0.057343,0.000000,0.971808
0.032500,1.105973,0.177168,0.057350,0.000000,0.971807
0.033000,1.106055,0.163631,0.057358,0.000000,0.971805
0.033500,1.106130,0.149095,0.057365,0.000000,0.971803
0.034000,1.106196,0.133617,0.057372,0.000000,0.971802
0.034500,1.106255,0.117250,0.057380,0.000000,0.971801
0.035000,1.106305,0.100045,0.057387,0.000000,0.971799
0.035500,1.106346,0.082054,0.057394,0.000000,0.971798
0.036000,1.106378,0.063323,0.057402,0.000000,0.971797
0.036500,1.106400,0.043899,0.057409,0.000000,0.971795
0.037000,1.106412,0.023826,0.057417,0.000000,0.971794
0.037500,1.106413,0.003146,0.057424,0.000000,0.971793
0.038000,1.106404,-0.018100,0.057431,0.000000,0.971792
0.038500,1.106384,-0.039872,0.057439,0.000000,0.971790
0.039000,1.106353,-0.062134,0.057446,0.000000,0.971789
0.039500,1.106311,-0.084849,0.057454,0.000000,0.971788
0.040000,1.106257,-0.107984,0.057461,0.000000,0.971787
0.040500,1.106191,-0.131504,0.057469,0.000000,0.971786
0.041000,1.106113,-0.155380,0.057476,0.000000,0.971785
0.041500,1.106024,-0.179580,0.057484,0.000000,0.971784
0.042000,1.105921,-0.204077,0.057491,0.000000,0.971783
0.042500,1.105807,-0.228842,0.057499,0.000000,0.971782
0.043000,1.105680,-0.253849,0.057506,0.000000,0.971782
