time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003000,1279.381205,0.000000,54.070941,75.054411,1279.422516,0.000000
0.003500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004000,315.308193,377.155107,-56.425060,-47.276424,692.446548,0.000000
0.004500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,1275.101423,0.000000,53.834048,75.981814,1275.127835,0.000000
0.005500,1261.958445,0.000000,53.321349,73.803772,1262.077226,0.000000
0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.006500,302.862835,377.273979,-56.985756,-47.875346,680.080107,0.000000
0.007000,303.841044,376.323582,-56.799738,-46.591502,680.176291,0.000000
0.007500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.008000,1269.267920,0.000000,53.555341,77.136099,1269.248816,0.000000
0.008500,1256.020700,0.000000,53.045500,74.878129,1256.096732,0.000000
0.009000,1243.335682,0.000000,52.557086,72.808787,1243.494975,0.000000
0.009500,1231.184543,0.000000,52.089038,70.918265,1231.416251,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010500,216.642968,362.069848,-57.812627,-50.102182,578.592390,0.000000
0.011000,222.211394,362.042938,-57.596980,-48.805597,584.212772,0.000000
0.011500,227.163509,361.961535,-57.395436,-47.584348,589.155892,0.000000
0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012500,1255.833209,0.000000,53.052554,77.360565,1255.777971,0.000000
0.013000,1242.258906,0.000000,52.534598,75.083130,1242.297561,0.000000
0.013500,1229.269192,0.000000,52.038511,73.001461,1229.389540,0.000000
0.014000,1216.834402,0.000000,51.563221,71.105082,1217.025322,0.000000
0.014500,1204.926762,0.000000,51.107725,69.384265,1205.178093,0.000000
0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015500,102.612718,339.473913,-58.460648,-51.884386,441.956217,0.000000
0.016000,114.067845,340.752883,-58.228005,-50.676355,454.776628,0.000000
0.016500,124.600242,341.900523,-58.009057,-49.516019,466.535991,0.000000
0.017000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.017500,1240.391581,0.000000,52.564667,76.844670,1240.322983,0.000000
0.018000,1226.433978,0.000000,52.033094,74.596492,1226.455347,0.000000
0.018500,1213.089760,0.000000,51.524333,72.550220,1213.188718,0.000000
0.019000,1200.327458,0.000000,51.037262,70.694735,1200.492740,0.000000
0.019500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,42.762843,326.210435,-58.556317,-51.860948,368.899725,0.000000
0.020500,56.180474,328.041228,-58.332058,-50.844228,384.231163,0.000000
0.021000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.021500,1230.696382,0.000000,52.340455,75.864144,1230.665153,0.000000
0.022000,1216.323432,0.000000,51.792742,73.617167,1216.379572,0.000000
0.022500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.023000,54.872828,326.618261,-58.113031,-50.387534,381.476724,0.000000
0.023500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024000,1232.520356,0.000000,52.544466,75.526775,1232.537336,0.000000
0.024500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,91.333611,332.667819,-57.660145,-48.898406,423.995985,0.000000
0.025500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.026500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.028500,289.212483,373.160613,-56.614665,-43.593588,662.352768,0.000000
0.029000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.029500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,352.054141,387.349883,-56.493106,-42.302171,739.385994,0.000000
0.030500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.031000,1264.084900,0.000000,54.121409,78.266207,1264.199628,0.000000
0.031500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.032000,375.607678,395.608084,-56.896730,-43.886043,771.119141,0.000000
0.032500,370.963792,394.234481,-56.837904,-43.457504,765.140013,0.000000
0.033000,366.298350,392.911265,-56.789409,-43.076293,759.187650,0.000000
0.033500,361.625050,391.639678,-56.750891,-42.740050,753.277131,0.000000
0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034500,1256.343639,0.000000,53.946471,77.701960,1256.416460,0.000000
0.035000,1239.532516,0.000000,53.305767,74.488197,1239.743200,0.000000
0.035500,1223.514088,0.000000,52.694062,71.532624,1223.845230,0.000000
0.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.036500,0.000000,316.485609,-58.205220,-55.904423,316.211067,0.000000
0.037000,328.847510,391.497452,-57.950434,-47.985492,720.159414,0.000000
0.037500,325.783167,390.438101,-57.888385,-47.452556,716.080384,0.000000
0.038000,322.647192,389.417985,-57.836312,-46.968493,711.966413,0.000000
0.038500,319.453922,388.438550,-57.793905,-46.531096,707.833460,0.000000
0.039000,316.216445,387.501012,-57.760861,-46.138191,703.695983,0.000000
0.039500,312.946683,386.606371,-57.736882,-45.787648,699.567049,0.000000
0.040000,309.655468,385.755430,-57.721675,-45.477388,695.458424,0.000000
0.040500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.041000,1232.434100,0.000000,53.191280,75.561755,1232.461944,0.000000
0.041500,1214.733227,0.000000,52.501568,72.304956,1214.903544,0.000000
0.042000,1197.888116,0.000000,51.844326,69.313675,1198.182767,0.000000
0.042500,1181.850843,0.000000,51.217779,66.570960,1182.253645,0.000000
0.043000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.043500,227.319133,375.399338,-59.184418,-53.091169,602.397840,0.000000
0.044000,228.196841,375.306795,-59.132561,-52.552075,603.233539,0.000000
0.044500,228.869582,375.216577,-59.089524,-52.051239,603.863713,0.000000
0.045000,229.354682,375.131268,-59.055088,-51.587609,604.308456,0.000000
0.045500,229.668283,375.053211,-59.029034,-51.160083,604.586418,0.000000
0.046000,229.825409,374.984514,-59.011142,-50.767521,604.714887,0.000000
0.046500,229.840026,374.927073,-59.001192,-50.408754,604.709869,0.000000
0.047000,229.725107,374.882579,-58.998966,-50.082598,604.586160,0.000000
0.047500,229.492688,374.852536,-59.004249,-49.787862,604.357425,0.000000
0.048000,229.153922,374.838272,-59.016826,-49.523357,604.036257,0.000000
0.048500,228.719135,374.840951,-59.036486,-49.287901,603.634253,0.000000
0.049000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.049500,1200.625836,0.000000,52.138067,72.237459,1200.641407,0.000000
