time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,0.074000,-9.493345,-10.383783,148.000000
0.000500,0.148000,-9.493345,-10.383783,148.000000
0.001000,0.222000,34.259207,-10.786269,148.000000
0.001500,0.027500,-50.000000,-7.189518,-389.000000
0.002000,0.101500,50.000000,-14.302215,148.000000
0.002500,-0.093000,-50.000000,-4.293223,-389.000000
0.003000,-0.019000,50.000000,-17.103521,148.000000
0.003500,0.055000,50.000000,-14.924803,148.000000
0.004000,-0.139500,-50.000000,-2.532271,-389.000000
0.004500,-0.334000,-50.000000,-3.274802,-389.000000
0.005000,-0.260000,50.000000,-17.909169,148.000000
0.005500,-0.186000,50.000000,-15.692405,148.000000
0.006000,-0.112000,50.000000,-13.808962,148.000000
0.006500,-0.306500,-50.000000,-2.899264,-389.000000
0.007000,-0.501000,-50.000000,-3.614696,-389.000000
0.007500,-0.695500,-50.000000,-4.277912,-389.000000
0.008000,-0.621500,50.000000,-16.985043,148.000000
0.008500,-0.547500,50.000000,-14.847956,148.000000
0.009000,-0.473500,50.000000,-13.041165,148.000000
0.009500,-0.399500,50.000000,-11.541567,148.000000
0.010000,-0.325500,50.000000,-10.328083,148.000000
0.010500,-0.520000,-50.000000,-7.229359,-389.000000
0.011000,-0.714500,-50.000000,-7.483260,-389.000000
0.011500,-0.909000,-50.000000,-7.730777,-389.000000
0.012000,-1.103500,-50.000000,-7.970039,-389.000000
0.012500,-1.029500,50.000000,-13.237445,148.000000
0.013000,-0.955500,50.000000,-11.472832,148.000000
0.013500,-0.881500,50.000000,-10.032853,148.000000
0.014000,-0.807500,50.000000,-8.894037,148.000000
0.014500,-0.733500,50.000000,-8.035002,148.000000
0.015000,-0.659500,50.000000,-7.436256,148.000000
0.015500,-0.854000,-50.000000,-13.716442,-389.000000
0.016000,-1.048500,-50.000000,-13.254382,-389.000000
0.016500,-1.243000,-50.000000,-12.857023,-389.000000
0.017000,-1.437500,-50.000000,-12.516047,-389.000000
0.017500,-1.363500,50.000000,-9.236566,148.000000
0.018000,-1.289500,50.000000,-7.933029,148.000000
0.018500,-1.215500,50.000000,-6.947518,148.000000
0.019000,-1.141500,50.000000,-6.255955,148.000000
0.019500,-1.067500,50.000000,-5.836468,148.000000
0.020000,-1.262000,-50.000000,-16.920221,-389.000000
0.020500,-1.456500,-50.000000,-16.090990,-389.000000
0.021000,-1.651000,-50.000000,-15.359900,-389.000000
0.021500,-1.577000,50.000000,-7.022712,148.000000
0.022000,-1.503000,50.000000,-5.989554,148.000000
0.022500,-1.429000,50.000000,-5.274507,148.000000
0.023000,-1.623500,-50.000000,-15.663642,-389.000000
0.023500,-1.818000,-50.000000,-14.971032,-389.000000
0.024000,-1.744000,50.000000,-7.056537,148.000000
0.024500,-1.670000,50.000000,-5.925690,148.000000
0.025000,-1.864500,-50.000000,-13.501938,-389.000000
0.025500,-2.059000,-50.000000,-13.056535,-389.000000
0.026000,-1.985000,50.000000,-8.603561,148.000000
0.026500,-2.179500,-50.000000,-10.435742,-389.000000
0.027000,-2.105500,50.000000,-11.855701,148.000000
0.027500,-2.300000,-50.000000,-8.278148,-389.000000
0.028000,-2.226000,50.000000,-15.473011,148.000000
0.028500,-2.420500,-50.000000,-6.365342,-389.000000
0.029000,-2.615000,-50.000000,-6.755826,-389.000000
0.029500,-2.541000,50.000000,-19.318180,148.000000
0.030000,-2.735500,-50.000000,-5.042758,-389.000000
0.030500,-2.930000,-50.000000,-5.600639,-389.000000
0.031000,-2.856000,50.000000,-23.142745,148.000000
0.031500,-2.782000,50.000000,-20.011957,148.000000
0.032000,-2.976500,-50.000000,-4.262172,-389.000000
0.032500,-3.171000,-50.000000,-4.912075,-389.000000
0.033000,-3.365500,-50.000000,-5.507475,-389.000000
0.033500,-3.560000,-50.000000,-6.052127,-389.000000
0.034000,-3.754500,-50.000000,-6.549586,-389.000000
0.034500,-3.680500,50.000000,-23.157141,148.000000
0.035000,-3.606500,50.000000,-19.930356,148.000000
0.035500,-3.532500,50.000000,-17.148077,148.000000
0.036000,-3.458500,50.000000,-14.773037,148.000000
0.036500,-3.653000,-50.000000,-6.438656,-389.000000
0.037000,-3.847500,-50.000000,-6.169783,-389.000000
0.037500,-4.042000,-50.000000,-6.655256,-389.000000
0.038000,-4.236500,-50.000000,-7.099331,-389.000000
0.038500,-4.431000,-50.000000,-7.504804,-389.000000
0.039000,-4.625500,-50.000000,-7.874332,-389.000000
0.039500,-4.820000,-50.000000,-8.210438,-389.000000
0.040000,-5.014500,-50.000000,-8.515514,-389.000000
0.040500,-5.209000,-50.000000,-8.791821,-389.000000
0.041000,-5.135000,50.000000,-18.762618,148.000000
0.041500,-5.061000,50.000000,-15.782015,148.000000
0.042000,-4.987000,50.000000,-13.257122,148.000000
0.042500,-4.913000,50.000000,-11.146740,148.000000
0.043000,-4.839000,50.000000,-9.413827,148.000000
0.043500,-5.033500,-50.000000,-10.170965,-389.000000
0.044000,-5.228000,-50.000000,-10.263221,-389.000000
0.044500,-5.422500,-50.000000,-10.348400,-389.000000
0.045000,-5.617000,-50.000000,-10.426644,-389.000000
0.045500,-5.811500,-50.000000,-10.498142,-389.000000
0.046000,-6.006000,-50.000000,-10.563118,-389.000000
0.046500,-6.200500,-50.000000,-10.621827,-389.000000
0.047000,-6.395000,-50.000000,-10.674543,-389.000000
0.047500,-6.589500,-50.000000,-10.721557,-389.000000
0.048000,-6.784000,-50.000000,-10.763166,-389.000000
0.048500,-6.978500,-50.000000,-10.799675,-389.000000
0.049000,-7.173000,-50.000000,-10.831390,-389.000000
0.049500,-7.099000,50.000000,-13.269966,148.000000
0.050000,-7.025000,50.000000,-10.573662,148.000000
0.050500,-6.951000,50.000000,-8.355007,148.000000
0.051000,-6.877000,50.000000,-6.566017,148.000000
0.051500,-6.803000,50.000000,-5.163925,148.000000
0.052000,-6.997500,-50.000000,-12.450325,-389.000000
0.052500,-7.192000,-50.000000,-12.045862,-389.000000
0.053000,-7.386500,-50.000000,-11.670478,-389.000000
0.053500,-7.581000,-50.000000,-11.599781,-389.000000
0.054000,-7.775500,-50.000000,-11.535554,-389.000000
0.054500,-7.970000,-50.000000,-11.477092,-389.000000
0.055000,-8.164500,-50.000000,-11.423767,-389.000000
0.055500,-8.359000,-50.000000,-11.375017,-389.000000
0.056000,-8.553500,-50.000000,-11.330340,-389.000000
0.056500,-8.748000,-50.000000,-11.289288,-389.000000
