time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,0.549264,10.910054,26.694649,0.000000
0.000500,0.000000,0.000000,0.365198,10.313480,21.880552,0.000000
0.001000,455.518523,93.693255,-0.701084,52.811129,549.214089,0.000000
0.001500,456.491240,94.993788,-0.913890,52.830040,551.489507,0.000000
0.002000,457.370455,96.272747,-1.125888,52.836970,553.649713,0.000000
0.002500,458.160330,97.531036,-1.337109,52.832537,555.699776,0.000000
0.003000,458.864849,98.769522,-1.547581,52.817325,557.644549,0.000000
0.003500,459.487822,99.989038,-1.757332,52.791889,559.488679,0.000000
0.004000,460.032894,101.190383,-1.966387,52.756754,561.236618,0.000000
0.004500,460.503558,102.374325,-2.174772,52.712415,562.892627,0.000000
0.005000,460.903152,103.541601,-2.382513,52.659342,564.460789,0.000000
0.005500,461.234876,104.692921,-2.589634,52.597982,565.945016,0.000000
0.006000,461.501792,105.828964,-2.796157,52.528755,567.349052,0.000000
0.006500,461.706829,106.950384,-3.002105,52.452062,568.676488,0.000000
0.007000,461.852796,108.057809,-3.207501,52.368283,569.930761,0.000000
0.007500,461.942378,109.151841,-3.412364,52.277776,571.115167,0.000000
0.008000,461.978149,110.233061,-3.616717,52.180883,572.232860,0.000000
0.008500,461.962573,111.302023,-3.820577,52.077927,573.286865,0.000000
0.009000,461.898009,112.359263,-4.023965,51.969216,574.280080,0.000000
0.009500,461.786716,113.405293,-4.226898,51.855040,575.215281,0.000000
0.010000,461.630858,114.440607,-4.429396,51.735677,576.095129,0.000000
0.010500,461.432507,115.465678,-4.631474,51.611389,576.922172,0.000000
0.011000,461.193647,116.480961,-4.833149,51.482425,577.698852,0.000000
0.011500,460.916178,117.486892,-5.034438,51.349023,578.427511,0.000000
0.012000,460.601918,118.483891,-5.235356,51.211407,579.110389,0.000000
0.012500,460.252611,119.472361,-5.435918,51.069792,579.749635,0.000000
0.013000,459.869924,120.452687,-5.636138,50.924380,580.347308,0.000000
0.013500,459.455455,121.425242,-5.836031,50.775366,580.905377,0.000000
0.014000,459.010733,122.390381,-6.035610,50.622932,581.425733,0.000000
0.014500,458.537221,123.348448,-6.234888,50.467253,581.910185,0.000000
0.015000,458.036323,124.299769,-6.433878,50.308495,582.360464,0.000000
0.015500,457.509379,125.244661,-6.632591,50.146817,582.778232,0.000000
0.016000,456.957674,126.183426,-6.831040,49.982369,583.165077,0.000000
0.016500,456.382437,127.116355,-7.029236,49.815293,583.522523,0.000000
0.017000,455.784846,128.043726,-7.227190,49.645726,583.852026,0.000000
0.017500,455.166026,128.965806,-7.424912,49.473797,584.154982,0.000000
0.018000,454.527054,129.882851,-7.622413,49.299629,584.432727,0.000000
0.018500,453.868962,130.795108,-7.819702,49.123340,584.686540,0.000000
0.019000,453.192736,131.702813,-8.016789,48.945040,584.917645,0.000000
0.019500,452.499318,132.606192,-8.213683,48.764838,585.127214,0.000000
0.020000,451.789613,133.505461,-8.410393,48.582832,585.316368,0.000000
0.020500,451.064482,134.400828,-8.606927,48.399121,585.486180,0.000000
0.021000,450.324750,135.292493,-8.803293,48.213795,585.637675,0.000000
0.021500,449.571207,136.180647,-8.999499,48.026942,585.771835,0.000000
0.022000,448.804606,137.065473,-9.195554,47.838646,585.889598,0.000000
0.022500,448.025669,137.947145,-9.391464,47.648984,585.991863,0.000000
0.023000,447.235084,138.825833,-9.587236,47.458033,586.079487,0.000000
0.023500,446.433509,139.701696,-9.782877,47.265864,586.153290,0.000000
0.024000,445.621573,140.574889,-9.978393,47.072546,586.214056,0.000000
0.024500,444.799876,141.445559,-10.173791,46.878144,586.262535,0.000000
0.025000,443.968992,142.313847,-10.369078,46.682720,586.299441,0.000000
0.025500,443.129468,143.179889,-10.564258,46.486333,586.325458,0.000000
0.026000,442.281826,144.043813,-10.759337,46.289040,586.341239,0.000000
0.026500,441.426564,144.905743,-10.954321,46.090893,586.347406,0.000000
0.027000,440.564159,145.765797,-11.149216,45.891944,586.344555,0.000000
0.027500,439.695065,146.624088,-11.344024,45.692242,586.333252,0.000000
0.028000,438.819712,147.480723,-11.538753,45.491833,586.314039,0.000000
0.028500,437.938516,148.335807,-11.733406,45.290760,586.287432,0.000000
0.029000,437.051867,149.189437,-11.927988,45.089066,586.253923,0.000000
0.029500,436.160141,150.041708,-12.122502,44.886791,586.213982,0.000000
0.030000,435.263694,150.892709,-12.316954,44.683972,586.168056,0.000000
0.030500,434.362866,151.742526,-12.511346,44.480647,586.116570,0.000000
0.031000,433.457981,152.591241,-12.705683,44.276848,586.059930,0.000000
0.031500,432.549346,153.438931,-12.899969,44.072610,585.998523,0.000000
0.032000,431.637253,154.285672,-13.094206,43.867963,585.932715,0.000000
0.032500,430.721982,155.131534,-13.288398,43.662937,585.862856,0.000000
0.033000,429.803796,155.976584,-13.482549,43.457560,585.789279,0.000000
0.033500,428.882947,156.820887,-13.676660,43.251859,585.712299,0.000000
0.034000,427.959673,157.664505,-13.870736,43.045859,585.632217,0.000000
0.034500,427.034202,158.507494,-14.064779,42.839586,585.549318,0.000000
0.035000,426.106747,159.349911,-14.258791,42.633061,585.463872,0.000000
0.035500,425.177514,160.191808,-14.452775,42.426306,585.376137,0.000000
0.036000,424.246696,161.033235,-14.646734,42.219344,585.286355,0.000000
0.036500,423.314475,161.874240,-14.840670,42.012192,585.194758,0.000000
0.037000,422.381025,162.714868,-15.034585,41.804871,585.101564,0.000000
0.037500,421.446511,163.555161,-15.228481,41.597397,585.006981,0.000000
0.038000,420.511087,164.395161,-15.422361,41.389789,584.911205,0.000000
0.038500,419.574900,165.234906,-15.616225,41.182061,584.814420,0.000000
0.039000,418.638090,166.074431,-15.810077,40.974230,584.716802,0.000000
0.039500,417.700787,166.913772,-16.003917,40.766309,584.618516,0.000000
0.040000,416.763114,167.752961,-16.197747,40.558312,584.519718,0.000000
0.040500,415.825187,168.592029,-16.391570,40.350253,584.420556,0.000000
0.041000,414.887117,169.431005,-16.585386,40.142143,584.321168,0.000000
0.041500,413.949006,170.269917,-16.779197,39.933995,584.221684,0.000000
0.042000,413.010952,171.108789,-16.973004,39.725818,584.122228,0.000000
0.042500,412.073045,171.947647,-17.166809,39.517625,584.022914,0.000000
0.043000,411.135370,172.786514,-17.360612,39.309424,583.923851,0.000000
0.043500,410.198008,173.625411,-17.554416,39.101224,583.825140,0.000000
