time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,5.729578,0.000000,-0.015819,0.000000,0.967612
0.000500,5.726874,-5.408574,-0.015819,0.000000,0.967612
0.001000,5.724358,-5.032243,-0.015819,0.000000,0.967610
0.001500,5.722023,-4.669848,-0.015820,0.000000,0.967608
0.002000,5.719862,-4.320967,-0.015820,0.000000,0.967605
0.002500,5.717870,-3.985188,-0.015821,0.000000,0.967602
0.003000,5.716038,-3.662109,-0.015822,0.000000,0.967600
0.003500,5.714363,-3.351338,-0.015823,0.000000,0.967597
0.004000,5.712837,-3.052493,-0.015824,0.000000,0.967594
0.004500,5.711454,-2.765203,-0.015826,0.000000,0.967590
0.005000,5.710209,-2.489103,-0.015828,0.000000,0.967587
0.005500,5.709097,-2.223841,-0.015830,0.000000,0.967584
0.006000,5.708113,-1.969070,-0.015832,0.000000,0.967581
0.006500,5.707251,-1.724457,-0.015835,0.000000,0.967577
0.007000,5.706506,-1.489672,-0.015837,0.000000,0.967574
0.007500,5.705874,-1.264399,-0.015840,0.000000,0.967570
0.008000,5.705350,-1.048325,-0.015844,0.000000,0.967567
0.008500,5.704929,-0.841149,-0.015847,0.000000,0.967563
0.009000,5.704608,-0.642577,-0.015851,0.000000,0.967560
0.009500,5.704382,-0.452321,-0.015855,0.000000,0.967556
0.010000,5.704246,-0.270104,-0.015859,0.000000,0.967552
0.010500,5.704199,-0.095654,-0.015863,0.000000,0.967549
0.011000,5.704234,0.071294,-0.015868,0.000000,0.967545
0.011500,5.704350,0.230996,-0.015872,0.000000,0.967541
0.012000,5.704542,0.383702,-0.015877,0.000000,0.967538
0.012500,5.704806,0.529655,-0.015883,0.000000,0.967534
0.013000,5.705141,0.669091,-0.015888,0.000000,0.967530
0.013500,5.705542,0.802241,-0.015894,0.000000,0.967526
0.014000,5.706007,0.929326,-0.015899,0.000000,0.967523
0.014500,5.706532,1.050565,-0.015906,0.000000,0.967519
0.015000,5.707115,1.166168,-0.015912,0.000000,0.967515
0.015500,5.707753,1.276340,-0.015918,0.000000,0.967511
0.016000,5.708444,1.381280,-0.015925,0.000000,0.967508
0.016500,5.709185,1.481181,-0.015932,0.000000,0.967504
0.017000,5.709973,1.576231,-0.015939,0.000000,0.967500
0.017500,5.710806,1.666611,-0.015947,0.000000,0.967496
0.018000,5.711682,1.752498,-0.015954,0.000000,0.967493
0.018500,5.712599,1.834065,-0.015962,0.000000,0.967489
0.019000,5.713555,1.911477,-0.015970,0.000000,0.967485
0.019500,5.714547,1.984895,-0.015978,0.000000,0.967482
0.020000,5.715575,2.054476,-0.015987,0.000000,0.967478
0.020500,5.716635,2.120372,-0.015995,0.000000,0.967475
0.021000,5.717726,2.182730,-0.016004,0.000000,0.967471
0.021500,5.718847,2.241693,-0.016013,0.000000,0.967467
0.022000,5.719996,2.297397,-0.016022,0.000000,0.967464
0.022500,5.721171,2.349978,-0.016032,0.000000,0.967460
0.023000,5.722371,2.399565,-0.016042,0.000000,0.967457
0.023500,5.723594,2.446283,-0.016051,0.000000,0.967453
0.024000,5.724839,2.490253,-0.016061,0.000000,0.967450
0.024500,5.726105,2.531593,-0.016072,0.000000,0.967446
0.025000,5.727390,2.570417,-0.016082,0.000000,0.967443
0.025500,5.728693,2.606835,-0.016093,0.000000,0.967439
0.026000,5.730014,2.640953,-0.016104,0.000000,0.967436
0.026500,5.731350,2.672874,-0.016115,0.000000,0.967433
0.027000,5.732702,2.702697,-0.016126,0.000000,0.967429
0.027500,5.734067,2.730519,-0.016138,0.000000,0.967426
0.028000,5.735445,2.756432,-0.016149,0.000000,0.967423
0.028500,5.736835,2.780526,-0.016161,0.000000,0.967419
0.029000,5.738237,2.802887,-0.016173,0.000000,0.967416
0.029500,5.739648,2.823599,-0.016185,0.000000,0.967413
0.030000,5.741070,2.842743,-0.016198,0.000000,0.967409
0.030500,5.742500,2.860396,-0.016210,0.000000,0.967406
0.031000,5.743938,2.876633,-0.016223,0.000000,0.967403
0.031500,5.745384,2.891527,-0.016236,0.000000,0.967400
0.032000,5.746837,2.905147,-0.016249,0.000000,0.967397
0.032500,5.748295,2.917561,-0.016263,0.000000,0.967394
0.033000,5.749760,2.928833,-0.016276,0.000000,0.967391
0.033500,5.751229,2.939026,-0.016290,0.000000,0.967387
0.034000,5.752704,2.948199,-0.016304,0.000000,0.967384
0.034500,5.754182,2.956411,-0.016318,0.000000,0.967381
0.035000,5.755664,2.963716,-0.016333,0.000000,0.967378
0.035500,5.757149,2.970168,-0.016347,0.000000,0.967375
0.036000,5.758637,2.975819,-0.016362,0.000000,0.967372
0.036500,5.760127,2.980718,-0.016377,0.000000,0.967369
0.037000,5.761619,2.984911,-0.016392,0.000000,0.967366
0.037500,5.763114,2.988445,-0.016407,0.000000,0.967363
0.038000,5.764609,2.991363,-0.016422,0.000000,0.967360
0.038500,5.766106,2.993707,-0.016438,0.000000,0.967358
0.039000,5.767604,2.995517,-0.016454,0.000000,0.967355
0.039500,5.769102,2.996832,-0.016469,0.000000,0.967352
0.040000,5.770601,2.997688,-0.016486,0.000000,0.967349
0.040500,5.772100,2.998121,-0.016502,0.000000,0.967346
0.041000,5.773599,2.998164,-0.016518,0.000000,0.967343
0.041500,5.775098,2.997849,-0.016535,0.000000,0.967340
0.042000,5.776597,2.997209,-0.016552,0.000000,0.967337
0.042500,5.778095,2.996271,-0.016569,0.000000,0.967335
0.043000,5.779593,2.995064,-0.016586,0.000000,0.967332
0.043500,5.781089,2.993615,-0.016603,0.000000,0.967329
0.044000,5.782585,2.991949,-0.016620,0.000000,0.967326
0.044500,5.784080,2.990092,-0.016638,0.000000,0.967324
0.045000,5.785574,2.988065,-0.016656,0.000000,0.967321
0.045500,5.787067,2.985892,-0.016674,0.000000,0.967318
0.046000,5.788559,2.983593,-0.016692,0.000000,0.967315
0.046500,5.790050,2.981189,-0.016710,0.000000,0.967313
0.047000,5.791539,2.978697,-0.016729,0.000000,0.967310
0.047500,5.793027,2.976137,-0.016747,0.000000,0.967307
0.048000,5.794514,2.973525,-0.016766,0.000000,0.967305
0.048500,5.795999,2.970877,-0.016785,0.000000,0.967302
0.049000,5.797483,2.968208,-0.016804,0.000000,0.967299
0.049500,5.798966,2.965534,-0.016823,0.000000,0.967296
0.050000,5.800448,2.962867,-0.016843,0.000000,0.967294
0.050500,5.801928,2.960221,-0.016862,0.000000,0.967291
0.051000,5.803407,2.957606,-0.016882,0.000000,0.967288
0.051500,5.804884,2.955036,-0.016902,0.000000,0.967286
0.052000,5.806360,2.952519,-0.016922,0.000000,0.967283
0.052500,5.807835,2.950067,-0.016942,0.000000,0.967281
0.053000,5.809309,2.947688,-0.016962,0.000000,0.967278
0.053500,5.810782,2.945392,-0.016983,0.000000,0.967275
0.054000,5.812253,2.943185,-0.017003,0.000000,0.967273
0.054500,5.813724,2.941076,-0.017024,0.000000,0.967270
0.055000,5.815194,2.939072,-0.017045,0.000000,0.967267
0.055500,5.816662,2.937179,-0.017066,0.000000,0.967265
0.056000,5.818130,2.935402,-0.017087,0.000000,0.967262
0.056500,5.819597,2.933748,-0.017108,0.000000,0.967259
0.057000,5.821063,2.932221,-0.017130,0.000000,0.967257
0.057500,5.822528,2.930825,-0.017152,0.000000,0.967254
0.058000,5.823993,2.929566,-0.017173,0.000000,0.967252
0.058500,5.825457,2.928445,-0.017195,0.000000,0.967249
0.059000,5.826921,2.927467,-0.017217,0.000000,0.967246
0.059500,5.828384,2.926635,-0.017240,0.000000,0.967244
0.060000,5.829847,2.925950,-0.017262,0.000000,0.967241
0.060500,5.831310,2.925415,-0.017284,0.000000,0.967239
0.061000,5.832772,2.925033,-0.017307,0.000000,0.967236
0.061500,5.834235,2.924804,-0.017330,0.000000,0.967233
0.062000,5.835697,2.924729,-0.017353,0.000000,0.967231
0.062500,5.837160,2.924810,-0.017376,0.000000,0.967228
0.063000,5.838622,2.925048,-0.017399,0.000000,0.967226
0.063500,5.840085,2.925442,-0.017422,0.000000,0.967223
0.064000,5.841548,2.925993,-0.017445,0.000000,0.967220
0.064500,5.843011,2.926701,-0.017469,0.000000,0.967218
0.065000,5.844475,2.927565,-0.017493,0.000000,0.967215
0.065500,5.845939,2.928585,-0.017516,0.000000,0.967212
0.066000,5.847404,2.929761,-0.017540,0.000000,0.967210
0.066500,5.848870,2.931091,-0.017564,0.000000,0.967207
0.067000,5.850336,2.932574,-0.017588,0.000000,0.967204
0.067500,5.851803,2.934210,-0.017613,0.000000,0.967202
0.068000,5.853271,2.935996,-0.017637,0.000000,0.967199
0.068500,5.854740,2.937932,-0.017662,0.000000,0.967197
0.069000,5.856210,2.940016,-0.017686,0.000000,0.967194
0.069500,5.857681,2.942245,-0.017711,0.000000,0.967191
0.070000,5.859154,2.944618,-0.017736,0.000000,0.967189
0.070500,5.860627,2.947132,-0.017761,0.000000,0.967186
0.071000,5.862102,2.949787,-0.017786,0.000000,0.967183
0.071500,5.863578,2.952579,-0.017812,0.000000,0.967181
0.072000,5.865056,2.955506,-0.017837,0.000000,0.967178
0.072500,5.866535,2.958566,-0.017862,0.000000,0.967175
0.073000,5.868016,2.961756,-0.017888,0.000000,0.967173
0.073500,5.869499,2.965074,-0.017914,0.000000,0.967170
0.074000,5.870983,2.968517,-0.017940,0.000000,0.967167
0.074500,5.872469,2.972082,-0.017966,0.000000,0.967164
0.075000,5.873957,2.975766,-0.017992,0.000000,0.967162
0.075500,5.875447,2.979568,-0.018018,0.000000,0.967159
0.076000,5.876938,2.983483,-0.018044,0.000000,0.967156
0.076500,5.878432,2.987509,-0.018071,0.000000,0.967154
0.077000,5.879928,2.991643,-0.018097,0.000000,0.967151
0.077500,5.881426,2.995883,-0.018124,0.000000,0.967148
0.078000,5.882926,3.000224,-0.018150,0.000000,0.967145
0.078500,5.884428,3.004665,-0.018177,0.000000,0.967143
0.079000,5.885933,3.009201,-0.018204,0.000000,0.967140
0.079500,5.887440,3.013831,-0.018231,0.000000,0.967137
0.080000,5.888949,3.018551,-0.018258,0.000000,0.967134
0.080500,5.890461,3.023357,-0.018286,0.000000,0.967132
0.081000,5.891975,3.028247,-0.018313,0.000000,0.967129
0.081500,5.893492,3.033218,-0.018341,0.000000,0.967126
0.082000,5.895011,3.038267,-0.018368,0.000000,0.967123
0.082500,5.896532,3.043390,-0.018396,0.000000,0.967121
0.083000,5.898057,3.048584,-0.018424,0.000000,0.967118
0.083500,5.899584,3.053847,-0.018451,0.000000,0.967115
0.084000,5.901113,3.059175,-0.018479,0.000000,0.967112
0.084500,5.902646,3.064565,-0.018507,0.000000,0.967109
0.085000,5.904181,3.070015,-0.018536,0.000000,0.967107
0.085500,5.905718,3.075521,-0.018564,0.000000,0.967104
0.086000,5.907259,3.081080,-0.018592,0.000000,0.967101
0.086500,5.908802,3.086689,-0.018621,0.000000,0.967098
