time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,-0.194500,0.000000,-52.117068,-389.000000
0.000500,-0.389000,0.000000,-52.117068,-389.000000
0.001000,-0.583500,0.000000,-52.158489,-389.000000
0.001500,-0.778000,0.000000,-52.156273,-389.000000
0.002000,-0.972500,0.000000,-52.154032,-389.000000
0.002500,-1.167000,0.000000,-52.151808,-389.000000
0.003000,-1.361500,0.000000,-52.149639,-389.000000
0.003500,-1.556000,0.000000,-52.147557,-389.000000
0.004000,-1.750500,0.000000,-52.145591,-389.000000
0.004500,-1.945000,0.000000,-52.143767,-389.000000
0.005000,-2.139500,0.000000,-52.142105,-389.000000
0.005500,-2.334000,0.000000,-52.140626,-389.000000
0.006000,-2.528500,0.000000,-52.139344,-389.000000
0.006500,-2.723000,0.000000,-52.138274,-389.000000
0.007000,-2.917500,0.000000,-52.137426,-389.000000
0.007500,-3.112000,0.000000,-52.136810,-389.000000
0.008000,-3.306500,0.000000,-52.136433,-389.000000
0.008500,-3.501000,0.000000,-52.136301,-389.000000
0.009000,-3.695500,0.000000,-52.136418,-389.000000
0.009500,-3.890000,0.000000,-52.136787,-389.000000
0.010000,-4.084500,0.000000,-52.137410,-389.000000
0.010500,-4.279000,0.000000,-52.138288,-389.000000
0.011000,-4.473500,0.000000,-52.139420,-389.000000
0.011500,-4.668000,0.000000,-52.140805,-389.000000
0.012000,-4.862500,0.000000,-52.142442,-389.000000
0.012500,-5.057000,0.000000,-52.144330,-389.000000
0.013000,-5.251500,0.000000,-52.146464,-389.000000
0.013500,-5.446000,0.000000,-52.148841,-389.000000
0.014000,-5.640500,0.000000,-52.151459,-389.000000
0.014500,-5.835000,0.000000,-52.154314,-389.000000
0.015000,-6.029500,0.000000,-52.157401,-389.000000
0.015500,-6.224000,0.000000,-52.160715,-389.000000
0.016000,-6.418500,0.000000,-52.164253,-389.000000
0.016500,-6.613000,0.000000,-52.168010,-389.000000
0.017000,-6.807500,0.000000,-52.171981,-389.000000
0.017500,-7.002000,0.000000,-52.176161,-389.000000
0.018000,-7.196500,0.000000,-52.180546,-389.000000
0.018500,-7.391000,0.000000,-52.185131,-389.000000
0.019000,-7.585500,0.000000,-52.189911,-389.000000
0.019500,-7.780000,0.000000,-52.194881,-389.000000
0.020000,-7.974500,0.000000,-52.200037,-389.000000
0.020500,-8.169000,0.000000,-52.205374,-389.000000
0.021000,-8.363500,0.000000,-52.210888,-389.000000
0.021500,-8.558000,0.000000,-52.216575,-389.000000
0.022000,-8.752500,0.000000,-52.222429,-389.000000
0.022500,-8.947000,0.000000,-52.228447,-389.000000
0.023000,-9.141500,0.000000,-52.234625,-389.000000
0.023500,-9.336000,0.000000,-52.240959,-389.000000
0.024000,-9.530500,0.000000,-52.247445,-389.000000
0.024500,-9.725000,0.000000,-52.254079,-389.000000
0.025000,-9.919500,0.000000,-52.260858,-389.000000
0.025500,-10.114000,0.000000,-52.267778,-389.000000
0.026000,-10.308500,0.000000,-52.274836,-389.000000
0.026500,-10.503000,0.000000,-52.282030,-389.000000
0.027000,-10.697500,0.000000,-52.289355,-389.000000
0.027500,-10.892000,0.000000,-52.296809,-389.000000
0.028000,-11.086500,0.000000,-52.304389,-389.000000
0.028500,-11.281000,0.000000,-52.312092,-389.000000
0.029000,-11.475500,0.000000,-52.319917,-389.000000
0.029500,-11.670000,0.000000,-52.327859,-389.000000
0.030000,-11.864500,0.000000,-52.335918,-389.000000
0.030500,-12.059000,0.000000,-52.344091,-389.000000
0.031000,-12.253500,0.000000,-52.352376,-389.000000
0.031500,-12.448000,0.000000,-52.360770,-389.000000
0.032000,-12.642500,0.000000,-52.369272,-389.000000
0.032500,-12.837000,0.000000,-52.377880,-389.000000
0.033000,-13.031500,0.000000,-52.386593,-389.000000
0.033500,-13.226000,0.000000,-52.395408,-389.000000
0.034000,-13.420500,0.000000,-52.404324,-389.000000
0.034500,-13.615000,0.000000,-52.413339,-389.000000
0.035000,-13.809500,0.000000,-52.422453,-389.000000
0.035500,-14.004000,0.000000,-52.431664,-389.000000
0.036000,-14.198500,0.000000,-52.440970,-389.000000
0.036500,-14.393000,0.000000,-52.450370,-389.000000
0.037000,-14.587500,0.000000,-52.459864,-389.000000
0.037500,-14.782000,0.000000,-52.469450,-389.000000
0.038000,-14.976500,0.000000,-52.479127,-389.000000
0.038500,-15.171000,0.000000,-52.488894,-389.000000
0.039000,-15.365500,0.000000,-52.498751,-389.000000
0.039500,-15.560000,0.000000,-52.508695,-389.000000
0.040000,-15.754500,0.000000,-52.518728,-389.000000
0.040500,-15.949000,0.000000,-52.528847,-389.000000
0.041000,-16.143500,0.000000,-52.539052,-389.000000
0.041500,-16.338000,0.000000,-52.549342,-389.000000
0.042000,-16.532500,0.000000,-52.559717,-389.000000
0.042500,-16.727000,0.000000,-52.570176,-389.000000
0.043000,-16.921500,0.000000,-52.580718,-389.000000
