time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,0.572958,-8.193296,0.065942,0.000000,0.972103
0.000500,0.566571,-12.773089,0.065942,0.000000,0.972103
0.001000,0.560335,-12.472062,0.066007,0.000000,0.972101
0.001500,0.554244,-12.182098,0.066072,0.000000,0.972099
0.002000,0.548293,-11.902881,0.066137,0.000000,0.972098
0.002500,0.542476,-11.634104,0.066202,0.000000,0.972096
0.003000,0.536788,-11.375465,0.066267,0.000000,0.972094
0.003500,0.531225,-11.126669,0.066332,0.000000,0.972091
0.004000,0.525781,-10.887427,0.066397,0.000000,0.972089
0.004500,0.520452,-10.657458,0.066462,0.000000,0.972087
0.005000,0.515234,-10.436486,0.066527,0.000000,0.972085
0.005500,0.510122,-10.224242,0.066591,0.000000,0.972082
0.006000,0.505112,-10.020463,0.066656,0.000000,0.972080
0.006500,0.500199,-9.824892,0.066721,0.000000,0.972077
0.007000,0.495380,-9.637278,0.066786,0.000000,0.972075
0.007500,0.490652,-9.457376,0.066850,0.000000,0.972072
0.008000,0.486009,-9.284947,0.066915,0.000000,0.972070
0.008500,0.481449,-9.119758,0.066980,0.000000,0.972067
0.009000,0.476969,-8.961579,0.067044,0.000000,0.972065
0.009500,0.472564,-8.810190,0.067109,0.000000,0.972062
0.010000,0.468231,-8.665373,0.067174,0.000000,0.972059
0.010500,0.463967,-8.526916,0.067238,0.000000,0.972057
0.011000,0.459770,-8.394613,0.067303,0.000000,0.972054
0.011500,0.455636,-8.268263,0.067367,0.000000,0.972051
0.012000,0.451562,-8.147670,0.067431,0.000000,0.972049
0.012500,0.447546,-8.032641,0.067496,0.000000,0.972046
0.013000,0.443584,-7.922992,0.067560,0.000000,0.972043
0.013500,0.439675,-7.818540,0.067625,0.000000,0.972041
0.014000,0.435816,-7.719108,0.067689,0.000000,0.972038
0.014500,0.432003,-7.624525,0.067753,0.000000,0.972036
0.015000,0.428236,-7.534622,0.067818,0.000000,0.972033
0.015500,0.424511,-7.449237,0.067882,0.000000,0.972030
0.016000,0.420827,-7.368209,0.067946,0.000000,0.972028
0.016500,0.417182,-7.291386,0.068010,0.000000,0.972025
0.017000,0.413572,-7.218615,0.068074,0.000000,0.972023
0.017500,0.409997,-7.149751,0.068138,0.000000,0.972020
0.018000,0.406455,-7.084652,0.068202,0.000000,0.972018
0.018500,0.402943,-7.023178,0.068266,0.000000,0.972015
0.019000,0.399461,-6.965196,0.068330,0.000000,0.972013
0.019500,0.396006,-6.910575,0.068394,0.000000,0.972011
0.020000,0.392576,-6.859187,0.068458,0.000000,0.972008
0.020500,0.389170,-6.810909,0.068522,0.000000,0.972006
0.021000,0.385788,-6.765621,0.068586,0.000000,0.972004
0.021500,0.382426,-6.723206,0.068650,0.000000,0.972001
0.022000,0.379084,-6.683552,0.068714,0.000000,0.971999
0.022500,0.375761,-6.646549,0.068778,0.000000,0.971997
0.023000,0.372455,-6.612091,0.068841,0.000000,0.971995
0.023500,0.369165,-6.580073,0.068905,0.000000,0.971993
0.024000,0.365890,-6.550395,0.068969,0.000000,0.971991
0.024500,0.362628,-6.522961,0.069032,0.000000,0.971989
0.025000,0.359379,-6.497676,0.069096,0.000000,0.971987
0.025500,0.356142,-6.474449,0.069160,0.000000,0.971985
0.026000,0.352916,-6.453192,0.069223,0.000000,0.971983
0.026500,0.349699,-6.433817,0.069287,0.000000,0.971981
0.027000,0.346491,-6.416243,0.069350,0.000000,0.971979
0.027500,0.343290,-6.400388,0.069413,0.000000,0.971977
0.028000,0.340097,-6.386176,0.069477,0.000000,0.971975
0.028500,0.336911,-6.373530,0.069540,0.000000,0.971973
0.029000,0.333729,-6.362377,0.069604,0.000000,0.971972
0.029500,0.330553,-6.352647,0.069667,0.000000,0.971970
0.030000,0.327381,-6.344272,0.069730,0.000000,0.971968
0.030500,0.324212,-6.337185,0.069793,0.000000,0.971966
0.031000,0.321047,-6.331323,0.069856,0.000000,0.971965
0.031500,0.317883,-6.326624,0.069920,0.000000,0.971963
0.032000,0.314722,-6.323028,0.069983,0.000000,0.971962
0.032500,0.311562,-6.320478,0.070046,0.000000,0.971960
0.033000,0.308402,-6.318919,0.070109,0.000000,0.971959
0.033500,0.305243,-6.318296,0.070172,0.000000,0.971957
0.034000,0.302084,-6.318558,0.070235,0.000000,0.971956
0.034500,0.298924,-6.319655,0.070298,0.000000,0.971954
0.035000,0.295763,-6.321539,0.070361,0.000000,0.971953
0.035500,0.292601,-6.324164,0.070423,0.000000,0.971951
0.036000,0.289437,-6.327484,0.070486,0.000000,0.971950
0.036500,0.286272,-6.331456,0.070549,0.000000,0.971949
0.037000,0.283104,-6.336040,0.070612,0.000000,0.971947
0.037500,0.279933,-6.341194,0.070674,0.000000,0.971946
0.038000,0.276759,-6.346882,0.070737,0.000000,0.971945
0.038500,0.273583,-6.353065,0.070800,0.000000,0.971944
0.039000,0.270403,-6.359708,0.070862,0.000000,0.971943
0.039500,0.267220,-6.366777,0.070925,0.000000,0.971941
0.040000,0.264033,-6.374239,0.070987,0.000000,0.971940
0.040500,0.260842,-6.382062,0.071050,0.000000,0.971939
0.041000,0.257646,-6.390217,0.071112,0.000000,0.971938
0.041500,0.254447,-6.398674,0.071174,0.000000,0.971937
0.042000,0.251243,-6.407404,0.071237,0.000000,0.971936
0.042500,0.248035,-6.416383,0.071299,0.000000,0.971935
0.043000,0.244822,-6.425583,0.071361,0.000000,0.971934
0.043500,0.241605,-6.434980,0.071423,0.000000,0.971933
0.044000,0.238383,-6.444551,0.071486,0.000000,0.971932
0.044500,0.235156,-6.454273,0.071548,0.000000,0.971931
0.045000,0.231923,-6.464125,0.071610,0.000000,0.971930
0.045500,0.228686,-6.474086,0.071672,0.000000,0.971929
0.046000,0.225444,-6.484137,0.071734,0.000000,0.971929
0.046500,0.222197,-6.494259,0.071796,0.000000,0.971928
0.047000,0.218945,-6.504433,0.071858,0.000000,0.971927
0.047500,0.215688,-6.514643,0.071920,0.000000,0.971926
0.048000,0.212425,-6.524873,0.071981,0.000000,0.971925
0.048500,0.209158,-6.535107,0.072043,0.000000,0.971925
0.049000,0.205885,-6.545331,0.072105,0.000000,0.971924
0.049500,0.202607,-6.555530,0.072167,0.000000,0.971923
0.050000,0.199324,-6.565691,0.072228,0.000000,0.971922
0.050500,0.196036,-6.575802,0.072290,0.000000,0.971922
0.051000,0.192744,-6.585850,0.072351,0.000000,0.971921
0.051500,0.189446,-6.595825,0.072413,0.000000,0.971920
0.052000,0.186143,-6.605716,0.072474,0.000000,0.971920
0.052500,0.182835,-6.615512,0.072536,0.000000,0.971919
0.053000,0.179522,-6.625204,0.072597,0.000000,0.971918
0.053500,0.176205,-6.634783,0.072659,0.000000,0.971918
0.054000,0.172883,-6.644241,0.072720,0.000000,0.971917
0.054500,0.169556,-6.653569,0.072781,0.000000,0.971917
0.055000,0.166225,-6.662761,0.072842,0.000000,0.971916
0.055500,0.162889,-6.671808,0.072904,0.000000,0.971915
0.056000,0.159549,-6.680706,0.072965,0.000000,0.971915
0.056500,0.156204,-6.689446,0.073026,0.000000,0.971914
0.057000,0.152855,-6.698025,0.073087,0.000000,0.971914
0.057500,0.149502,-6.706436,0.073148,0.000000,0.971913
0.058000,0.146144,-6.714675,0.073209,0.000000,0.971913
