time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,2.585500,9.059482,68.539503,0.000000
0.000500,0.000000,0.000000,2.656416,9.132383,70.182309,0.000000
0.001000,472.039599,78.744979,5.565595,11.184267,550.784961,0.000000
0.001500,473.352968,79.790970,5.429170,11.034335,553.144668,0.000000
0.002000,474.610204,80.774226,5.302053,10.892334,555.385475,0.000000
0.002500,475.814175,81.696969,5.183948,10.758107,557.512472,0.000000
0.003000,476.967618,82.561346,5.074567,10.631490,559.530548,0.000000
0.003500,478.073143,83.369438,4.973629,10.512317,561.444395,0.000000
0.004000,479.133244,84.123260,4.880861,10.400423,563.258523,0.000000
0.004500,480.150298,84.824760,4.795997,10.295638,564.977260,0.000000
0.005000,481.126571,85.475826,4.718779,10.197794,566.604762,0.000000
0.005500,482.064227,86.078285,4.648957,10.106720,568.145020,0.000000
0.006000,482.965328,86.633904,4.586285,10.022247,569.601867,0.000000
0.006500,483.831841,87.144394,4.530528,9.944205,570.978980,0.000000
0.007000,484.665641,87.611411,4.481453,9.872425,572.279892,0.000000
0.007500,485.468514,88.036558,4.438838,9.806739,573.507992,0.000000
0.008000,486.242163,88.421384,4.402464,9.746981,574.666535,0.000000
0.008500,486.988211,88.767389,4.372120,9.692984,575.758644,0.000000
0.009000,487.708203,89.076025,4.347599,9.644585,576.787317,0.000000
0.009500,488.403611,89.348695,4.328703,9.601623,577.755429,0.000000
0.010000,489.075836,89.586758,4.315237,9.563937,578.665742,0.000000
0.010500,489.726214,89.791525,4.307013,9.531370,579.520903,0.000000
0.011000,490.356014,89.964268,4.303847,9.503765,580.323452,0.000000
0.011500,490.966444,90.106214,4.305562,9.480971,581.075828,0.000000
0.012000,491.558655,90.218551,4.311986,9.462837,581.780367,0.000000
0.012500,492.133739,90.302427,4.322950,9.449215,582.439312,0.000000
0.013000,492.692736,90.358952,4.338293,9.439959,583.054812,0.000000
0.013500,493.236634,90.389199,4.357857,9.434928,583.628928,0.000000
0.014000,493.766372,90.394204,4.381488,9.433982,584.163638,0.000000
0.014500,494.282842,90.374970,4.409038,9.436983,584.660834,0.000000
0.015000,494.786890,90.332465,4.440363,9.443799,585.122333,0.000000
0.015500,495.279322,90.267625,4.475324,9.454298,585.549875,0.000000
0.016000,495.760900,90.181354,4.513784,9.468352,585.945126,0.000000
0.016500,496.232348,90.074524,4.555612,9.485836,586.309685,0.000000
0.017000,496.694352,89.947979,4.600682,9.506628,586.645080,0.000000
0.017500,497.147564,89.802533,4.648869,9.530608,586.952778,0.000000
0.018000,497.592600,89.638973,4.700053,9.557660,587.234181,0.000000
0.018500,498.030045,89.458058,4.754120,9.587671,587.490633,0.000000
0.019000,498.460450,89.260520,4.810955,9.620530,587.723421,0.000000
0.019500,498.884341,89.047066,4.870452,9.656129,587.933774,0.000000
0.020000,499.302211,88.818381,4.932503,9.694364,588.122870,0.000000
0.020500,499.714528,88.575121,4.997007,9.735132,588.291838,0.000000
0.021000,500.121737,88.317923,5.063865,9.778335,588.441753,0.000000
0.021500,500.524253,88.047400,5.132981,9.823874,588.573649,0.000000
0.022000,500.922471,87.764143,5.204263,9.871658,588.688509,0.000000
0.022500,501.316764,87.468722,5.277620,9.921594,588.787276,0.000000
0.023000,501.707481,87.161687,5.352966,9.973593,588.870851,0.000000
0.023500,502.094955,86.843567,5.430218,10.027571,588.940095,0.000000
0.024000,502.479495,86.514874,5.509293,10.083443,588.995830,0.000000
0.024500,502.861395,86.176100,5.590113,10.141128,589.038840,0.000000
0.025000,503.240930,85.827720,5.672602,10.200548,589.069876,0.000000
0.025500,503.618358,85.470190,5.756687,10.261626,589.089653,0.000000
0.026000,503.993924,85.103950,5.842297,10.324290,589.098855,0.000000
0.026500,504.367853,84.729425,5.929362,10.388467,589.098133,0.000000
0.027000,504.740360,84.347022,6.017818,10.454088,589.088108,0.000000
0.027500,505.111645,83.957134,6.107599,10.521086,589.069374,0.000000
0.028000,505.481894,83.560140,6.198643,10.589396,589.042496,0.000000
0.028500,505.851282,83.156404,6.290892,10.658956,589.008012,0.000000
