time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,0.074000,1.617989,-5.156966,148.000000
0.000500,0.148000,1.617989,-5.156966,148.000000
0.001000,0.222000,5.148331,-5.149306,148.000000
0.001500,0.296000,4.952561,-5.110227,148.000000
0.002000,0.370000,4.765424,-5.071004,148.000000
0.002500,0.444000,4.586649,-5.031676,148.000000
0.003000,0.518000,4.415971,-4.992278,148.000000
0.003500,0.592000,4.253134,-4.952841,148.000000
0.004000,0.666000,4.097888,-4.913392,148.000000
0.004500,0.740000,3.949988,-4.873953,148.000000
0.005000,0.814000,3.809199,-4.834547,148.000000
0.005500,0.888000,3.675288,-4.795191,148.000000
0.006000,0.962000,3.548034,-4.755900,148.000000
0.006500,1.036000,3.427216,-4.716687,148.000000
0.007000,1.110000,3.312624,-4.677564,148.000000
0.007500,1.184000,3.204052,-4.638540,148.000000
0.008000,1.258000,3.101298,-4.599621,148.000000
0.008500,1.332000,3.004168,-4.560815,148.000000
0.009000,1.406000,2.912473,-4.522126,148.000000
0.009500,1.480000,2.826028,-4.483559,148.000000
0.010000,1.554000,2.744655,-4.445114,148.000000
0.010500,1.628000,2.668179,-4.406795,148.000000
0.011000,1.702000,2.596433,-4.368602,148.000000
0.011500,1.776000,2.529251,-4.330535,148.000000
0.012000,1.850000,2.466474,-4.292594,148.000000
0.012500,1.924000,2.407948,-4.254777,148.000000
0.013000,1.998000,2.353522,-4.217084,148.000000
0.013500,2.072000,2.303051,-4.179512,148.000000
0.014000,2.146000,2.256391,-4.142060,148.000000
0.014500,2.220000,2.213407,-4.104724,148.000000
0.015000,2.294000,2.173965,-4.067503,148.000000
0.015500,2.368000,2.137934,-4.030393,148.000000
0.016000,2.442000,2.105189,-3.993390,148.000000
0.016500,2.516000,2.075609,-3.956493,148.000000
0.017000,2.590000,2.049075,-3.919698,148.000000
0.017500,2.664000,2.025472,-3.883001,148.000000
0.018000,2.738000,2.004690,-3.846399,148.000000
0.018500,2.812000,1.986619,-3.809889,148.000000
0.019000,2.886000,1.971156,-3.773468,148.000000
