time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,0.596544,11.062928,27.930714,0.000000
0.000500,0.000000,0.000000,0.412478,10.466354,23.116617,0.000000
0.001000,455.629080,93.454505,-0.651582,52.848499,549.085891,0.000000
0.001500,456.607128,94.757653,-0.864361,52.862765,551.369251,0.000000
0.002000,457.491439,96.039198,-1.076335,52.864980,553.537134,0.000000
0.002500,458.286186,97.300043,-1.287532,52.855767,555.594619,0.000000
0.003000,458.995360,98.541057,-1.497980,52.835714,557.546570,0.000000
0.003500,459.622781,99.763073,-1.707708,52.805379,559.397644,0.000000
0.004000,460.172105,100.966892,-1.916741,52.765290,561.152302,0.000000
0.004500,460.646830,102.153282,-2.125105,52.715948,562.814815,0.000000
0.005000,461.050305,103.322981,-2.332826,52.657825,564.389275,0.000000
0.005500,461.385736,104.476699,-2.539926,52.591370,565.879601,0.000000
0.006000,461.656192,105.615116,-2.746430,52.517008,567.289546,0.000000
0.006500,461.864610,106.738888,-2.952359,52.435142,568.622708,0.000000
0.007000,462.013805,107.848641,-3.157737,52.346153,569.882533,0.000000
0.007500,462.106469,108.944981,-3.362583,52.250403,571.072321,0.000000
0.008000,462.145182,110.028486,-3.566918,52.148236,572.195236,0.000000
0.008500,462.132413,111.099713,-3.770761,52.039978,573.254308,0.000000
0.009000,462.070527,112.159198,-3.974133,51.925938,574.252441,0.000000
0.009500,461.961790,113.207454,-4.177051,51.806408,575.192417,0.000000
0.010000,461.808369,114.244974,-4.379532,51.681668,576.076903,0.000000
0.010500,461.612341,115.272233,-4.581595,51.551982,576.908452,0.000000
0.011000,461.375696,116.289686,-4.783256,51.417601,577.689513,0.000000
0.011500,461.100337,117.297770,-4.984531,51.278763,578.422430,0.000000
0.012000,460.788088,118.296905,-5.185435,51.135695,579.109450,0.000000
0.012500,460.440696,119.287494,-5.385983,50.988612,579.752726,0.000000
0.013000,460.059832,120.269923,-5.586190,50.837718,580.354320,0.000000
0.013500,459.647098,121.244566,-5.786070,50.683209,580.916209,0.000000
0.014000,459.204026,122.211778,-5.985637,50.525268,581.440284,0.000000
0.014500,458.732085,123.171903,-6.184902,50.364072,581.928359,0.000000
0.015000,458.232678,124.125268,-6.383880,50.199788,582.382172,0.000000
0.015500,457.707152,125.072190,-6.582582,50.032574,582.803384,0.000000
0.016000,457.156794,126.012972,-6.781019,49.862581,583.193589,0.000000
0.016500,456.582836,126.947905,-6.979204,49.689955,583.554314,0.000000
0.017000,455.986457,127.877266,-7.177147,49.514830,583.887017,0.000000
0.017500,455.368787,128.801325,-7.374858,49.337337,584.193099,0.000000
0.018000,454.730905,129.720337,-7.572348,49.157601,584.473898,0.000000
0.018500,454.073844,130.634550,-7.769626,48.975739,584.730696,0.000000
0.019000,453.398594,131.544199,-7.966703,48.791863,584.964720,0.000000
0.019500,452.706100,132.449510,-8.163586,48.606080,585.177144,0.000000
0.020000,451.997267,133.350702,-8.360286,48.418491,585.369091,0.000000
0.020500,451.272959,134.247982,-8.556810,48.229193,585.541637,0.000000
0.021000,450.534005,135.141549,-8.753166,48.038279,585.695810,0.000000
0.021500,449.781193,136.031596,-8.949363,47.845837,585.832594,0.000000
0.022000,449.015282,136.918305,-9.145408,47.651948,585.952929,0.000000
0.022500,448.236993,137.801852,-9.341308,47.456694,586.057716,0.000000
0.023000,447.447016,138.682405,-9.537071,47.260150,586.147813,0.000000
0.023500,446.646011,139.560125,-9.732703,47.062387,586.224043,0.000000
0.024000,445.834609,140.435167,-9.928210,46.863475,586.287192,0.000000
0.024500,445.013412,141.307678,-10.123599,46.663478,586.338011,0.000000
0.025000,444.182993,142.177799,-10.318877,46.462460,586.377216,0.000000
0.025500,443.343903,143.045666,-10.514048,46.260479,586.405493,0.000000
0.026000,442.496664,143.911408,-10.709118,46.057592,586.423495,0.000000
0.026500,441.641776,144.775149,-10.904094,45.853852,586.431848,0.000000
0.027000,440.779716,145.637007,-11.098979,45.649311,586.431147,0.000000
0.027500,439.910940,146.497096,-11.293779,45.444017,586.421961,0.000000
0.028000,439.035880,147.355523,-11.488499,45.238016,586.404833,0.000000
0.028500,438.154951,148.212391,-11.683144,45.031354,586.380280,0.000000
0.029000,437.268545,149.067800,-11.877717,44.824071,586.348795,0.000000
0.029500,436.377040,149.921844,-12.072222,44.616208,586.310849,0.000000
0.030000,435.480792,150.774613,-12.266665,44.407802,586.266890,0.000000
0.030500,434.580142,151.626192,-12.461049,44.198891,586.217346,0.000000
0.031000,433.675413,152.476663,-12.655378,43.989508,586.162622,0.000000
