time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,5.729578,-1.145916,-0.015819,0.000000,0.967612
0.000500,5.726308,-6.540060,-0.015819,0.000000,0.967612
0.001000,5.723226,-6.164309,-0.015810,0.000000,0.967611
0.001500,5.720325,-5.802477,-0.015802,0.000000,0.967609
0.002000,5.717597,-5.454144,-0.015793,0.000000,0.967608
0.002500,5.715038,-5.118897,-0.015785,0.000000,0.967606
0.003000,5.712640,-4.796335,-0.015777,0.000000,0.967604
0.003500,5.710397,-4.486068,-0.015769,0.000000,0.967602
0.004000,5.708303,-4.187712,-0.015761,0.000000,0.967600
0.004500,5.706353,-3.900898,-0.015754,0.000000,0.967598
0.005000,5.704540,-3.625261,-0.015746,0.000000,0.967595
0.005500,5.702860,-3.360449,-0.015739,0.000000,0.967593
0.006000,5.701307,-3.106117,-0.015733,0.000000,0.967591
0.006500,5.699876,-2.861931,-0.015726,0.000000,0.967588
0.007000,5.698562,-2.627562,-0.015720,0.000000,0.967586
0.007500,5.697360,-2.402693,-0.015714,0.000000,0.967583
0.008000,5.696267,-2.187014,-0.015708,0.000000,0.967581
0.008500,5.695277,-1.980223,-0.015702,0.000000,0.967578
0.009000,5.694386,-1.782026,-0.015697,0.000000,0.967575
0.009500,5.693590,-1.592136,-0.015692,0.000000,0.967572
0.010000,5.692885,-1.410276,-0.015687,0.000000,0.967570
0.010500,5.692267,-1.236174,-0.015682,0.000000,0.967567
0.011000,5.691732,-1.069567,-0.015677,0.000000,0.967564
0.011500,5.691277,-0.910197,-0.015673,0.000000,0.967561
0.012000,5.690898,-0.757816,-0.015669,0.000000,0.967559
0.012500,5.690592,-0.612181,-0.015665,0.000000,0.967556
0.013000,5.690355,-0.473056,-0.015662,0.000000,0.967553
0.013500,5.690185,-0.340211,-0.015658,0.000000,0.967550
0.014000,5.690078,-0.213424,-0.015655,0.000000,0.967547
0.014500,5.690032,-0.092477,-0.015652,0.000000,0.967544
0.015000,5.690044,0.022840,-0.015649,0.000000,0.967541
0.015500,5.690110,0.132730,-0.015647,0.000000,0.967539
0.016000,5.690229,0.237394,-0.015644,0.000000,0.967536
0.016500,5.690397,0.337024,-0.015642,0.000000,0.967533
0.017000,5.690613,0.431807,-0.015640,0.000000,0.967530
0.017500,5.690874,0.521926,-0.015639,0.000000,0.967527
0.018000,5.691178,0.607555,-0.015637,0.000000,0.967525
0.018500,5.691522,0.688868,-0.015636,0.000000,0.967522
0.019000,5.691905,0.766029,-0.015635,0.000000,0.967519
0.019500,5.692325,0.839201,-0.015634,0.000000,0.967516
0.020000,5.692779,0.908539,-0.015633,0.000000,0.967514
0.020500,5.693266,0.974195,-0.015633,0.000000,0.967511
0.021000,5.693784,1.036315,-0.015633,0.000000,0.967508
0.021500,5.694332,1.095042,-0.015633,0.000000,0.967505
0.022000,5.694907,1.150515,-0.015633,0.000000,0.967503
0.022500,5.695509,1.202865,-0.015633,0.000000,0.967500
0.023000,5.696135,1.252224,-0.015634,0.000000,0.967498
0.023500,5.696784,1.298715,-0.015635,0.000000,0.967495
0.024000,5.697455,1.342461,-0.015636,0.000000,0.967492
0.024500,5.698147,1.383579,-0.015637,0.000000,0.967490
0.025000,5.698858,1.422182,-0.015638,0.000000,0.967487
0.025500,5.699587,1.458379,-0.015640,0.000000,0.967485
0.026000,5.700333,1.492278,-0.015642,0.000000,0.967482
0.026500,5.701095,1.523981,-0.015644,0.000000,0.967480
0.027000,5.701872,1.553587,-0.015646,0.000000,0.967477
0.027500,5.702663,1.581192,-0.015648,0.000000,0.967475
0.028000,5.703466,1.606889,-0.015651,0.000000,0.967473
0.028500,5.704282,1.630767,-0.015654,0.000000,0.967470
0.029000,5.705108,1.652912,-0.015657,0.000000,0.967468
0.029500,5.705945,1.673409,-0.015660,0.000000,0.967465
0.030000,5.706791,1.692338,-0.015663,0.000000,0.967463
0.030500,5.707646,1.709775,-0.015667,0.000000,0.967461
0.031000,5.708509,1.725797,-0.015670,0.000000,0.967459
0.031500,5.709379,1.740475,-0.015674,0.000000,0.967456
0.032000,5.710256,1.753879,-0.015678,0.000000,0.967454
0.032500,5.711139,1.766076,-0.015683,0.000000,0.967452
0.033000,5.712028,1.777131,-0.015687,0.000000,0.967450
