time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,-0.194500,0.000000,-52.117068,-389.000000
0.000500,-0.389000,0.000000,-52.117068,-389.000000
0.001000,-0.583500,0.000000,-52.153081,-389.000000
0.001500,-0.778000,0.000000,-52.145681,-389.000000
0.002000,-0.972500,0.000000,-52.138256,-389.000000
0.002500,-1.167000,0.000000,-52.130847,-389.000000
0.003000,-1.361500,0.000000,-52.123491,-389.000000
0.003500,-1.556000,0.000000,-52.116222,-389.000000
0.004000,-1.750500,0.000000,-52.109068,-389.000000
0.004500,-1.945000,0.000000,-52.102055,-389.000000
0.005000,-2.139500,0.000000,-52.095205,-389.000000
0.005500,-2.334000,0.000000,-52.088536,-389.000000
0.006000,-2.528500,0.000000,-52.082064,-389.000000
0.006500,-2.723000,0.000000,-52.075802,-389.000000
0.007000,-2.917500,0.000000,-52.069763,-389.000000
0.007500,-3.112000,0.000000,-52.063955,-389.000000
0.008000,-3.306500,0.000000,-52.058385,-389.000000
0.008500,-3.501000,0.000000,-52.053060,-389.000000
0.009000,-3.695500,0.000000,-52.047983,-389.000000
0.009500,-3.890000,0.000000,-52.043157,-389.000000
0.010000,-4.084500,0.000000,-52.038585,-389.000000
0.010500,-4.279000,0.000000,-52.034267,-389.000000
0.011000,-4.473500,0.000000,-52.030203,-389.000000
0.011500,-4.668000,0.000000,-52.026392,-389.000000
0.012000,-4.862500,0.000000,-52.022832,-389.000000
0.012500,-5.057000,0.000000,-52.019522,-389.000000
0.013000,-5.251500,0.000000,-52.016458,-389.000000
0.013500,-5.446000,0.000000,-52.013637,-389.000000
0.014000,-5.640500,0.000000,-52.011056,-389.000000
0.014500,-5.835000,0.000000,-52.008711,-389.000000
0.015000,-6.029500,0.000000,-52.006598,-389.000000
0.015500,-6.224000,0.000000,-52.004712,-389.000000
0.016000,-6.418500,0.000000,-52.003049,-389.000000
0.016500,-6.613000,0.000000,-52.001604,-389.000000
0.017000,-6.807500,0.000000,-52.000373,-389.000000
0.017500,-7.002000,0.000000,-51.999350,-389.000000
0.018000,-7.196500,0.000000,-51.998532,-389.000000
0.018500,-7.391000,0.000000,-51.997913,-389.000000
0.019000,-7.585500,0.000000,-51.997489,-389.000000
0.019500,-7.780000,0.000000,-51.997254,-389.000000
0.020000,-7.974500,0.000000,-51.997205,-389.000000
0.020500,-8.169000,0.000000,-51.997336,-389.000000
0.021000,-8.363500,0.000000,-51.997643,-389.000000
0.021500,-8.558000,0.000000,-51.998122,-389.000000
0.022000,-8.752500,0.000000,-51.998769,-389.000000
0.022500,-8.947000,0.000000,-51.999579,-389.000000
0.023000,-9.141500,0.000000,-52.000548,-389.000000
0.023500,-9.336000,0.000000,-52.001672,-389.000000
0.024000,-9.530500,0.000000,-52.002948,-389.000000
0.024500,-9.725000,0.000000,-52.004371,-389.000000
0.025000,-9.919500,0.000000,-52.005938,-389.000000
0.025500,-10.114000,0.000000,-52.007647,-389.000000
0.026000,-10.308500,0.000000,-52.009492,-389.000000
0.026500,-10.503000,0.000000,-52.011472,-389.000000
0.027000,-10.697500,0.000000,-52.013583,-389.000000
0.027500,-10.892000,0.000000,-52.015822,-389.000000
0.028000,-11.086500,0.000000,-52.018186,-389.000000
0.028500,-11.281000,0.000000,-52.020673,-389.000000
0.029000,-11.475500,0.000000,-52.023281,-389.000000
0.029500,-11.670000,0.000000,-52.026006,-389.000000
0.030000,-11.864500,0.000000,-52.028846,-389.000000
0.030500,-12.059000,0.000000,-52.031800,-389.000000
0.031000,-12.253500,0.000000,-52.034864,-389.000000
0.031500,-12.448000,0.000000,-52.038038,-389.000000
0.032000,-12.642500,0.000000,-52.041318,-389.000000
0.032500,-12.837000,0.000000,-52.044704,-389.000000
0.033000,-13.031500,0.000000,-52.048193,-389.000000
0.033500,-13.226000,0.000000,-52.051784,-389.000000
0.034000,-13.420500,0.000000,-52.055475,-389.000000
0.034500,-13.615000,0.000000,-52.059264,-389.000000
0.035000,-13.809500,0.000000,-52.063151,-389.000000
0.035500,-14.004000,0.000000,-52.067134,-389.000000
0.036000,-14.198500,0.000000,-52.071212,-389.000000
0.036500,-14.393000,0.000000,-52.075383,-389.000000
0.037000,-14.587500,0.000000,-52.079646,-389.000000
0.037500,-14.782000,0.000000,-52.084001,-389.000000
0.038000,-14.976500,0.000000,-52.088446,-389.000000
0.038500,-15.171000,0.000000,-52.092980,-389.000000
0.039000,-15.365500,0.000000,-52.097602,-389.000000
0.039500,-15.560000,0.000000,-52.102311,-389.000000
0.040000,-15.754500,0.000000,-52.107108,-389.000000
0.040500,-15.949000,0.000000,-52.111989,-389.000000
0.041000,-16.143500,0.000000,-52.116956,-389.000000
0.041500,-16.338000,0.000000,-52.122007,-389.000000
0.042000,-16.532500,0.000000,-52.127142,-389.000000
0.042500,-16.727000,0.000000,-52.132359,-389.000000
0.043000,-16.921500,0.000000,-52.137659,-389.000000
