time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,-5.729578,17.188734,0.165905,0.000000,0.967588
0.000500,-5.723080,12.995004,0.165905,0.000000,0.967588
0.001000,-5.716467,13.226935,0.165769,0.000000,0.967599
0.001500,-5.709742,13.449413,0.165633,0.000000,0.967610
0.002000,-5.702911,13.662696,0.165498,0.000000,0.967621
0.002500,-5.695977,13.867039,0.165363,0.000000,0.967632
0.003000,-5.688946,14.062688,0.165228,0.000000,0.967643
0.003500,-5.681821,14.249887,0.165093,0.000000,0.967654
0.004000,-5.674607,14.428876,0.164959,0.000000,0.967664
0.004500,-5.667307,14.599888,0.164825,0.000000,0.967674
0.005000,-5.659925,14.763153,0.164691,0.000000,0.967685
0.005500,-5.652466,14.918894,0.164557,0.000000,0.967695
0.006000,-5.644932,15.067332,0.164423,0.000000,0.967705
0.006500,-5.637328,15.208682,0.164290,0.000000,0.967715
0.007000,-5.629656,15.343155,0.164157,0.000000,0.967725
0.007500,-5.621921,15.470958,0.164024,0.000000,0.967735
0.008000,-5.614125,15.592290,0.163892,0.000000,0.967745
0.008500,-5.606271,15.707351,0.163759,0.000000,0.967755
0.009000,-5.598363,15.816333,0.163627,0.000000,0.967765
0.009500,-5.590403,15.919424,0.163495,0.000000,0.967775
0.010000,-5.582395,16.016809,0.163364,0.000000,0.967785
0.010500,-5.574340,16.108667,0.163232,0.000000,0.967794
0.011000,-5.566243,16.195176,0.163101,0.000000,0.967804
0.011500,-5.558104,16.276507,0.162970,0.000000,0.967814
0.012000,-5.549928,16.352827,0.162839,0.000000,0.967823
0.012500,-5.541716,16.424300,0.162709,0.000000,0.967833
0.013000,-5.533470,16.491086,0.162579,0.000000,0.967842
0.013500,-5.525194,16.553341,0.162449,0.000000,0.967852
0.014000,-5.516888,16.611218,0.162319,0.000000,0.967861
0.014500,-5.508556,16.664865,0.162189,0.000000,0.967871
0.015000,-5.500198,16.714425,0.162060,0.000000,0.967880
0.015500,-5.491818,16.760042,0.161931,0.000000,0.967890
0.016000,-5.483417,16.801851,0.161802,0.000000,0.967899
0.016500,-5.474997,16.839987,0.161673,0.000000,0.967908
0.017000,-5.466560,16.874580,0.161545,0.000000,0.967918
0.017500,-5.458107,16.905758,0.161416,0.000000,0.967927
0.018000,-5.449640,16.933644,0.161288,0.000000,0.967937
0.018500,-5.441161,16.958359,0.161161,0.000000,0.967946
0.019000,-5.432671,16.980020,0.161033,0.000000,0.967955
0.019500,-5.424172,16.998742,0.160906,0.000000,0.967965
0.020000,-5.415665,17.014634,0.160778,0.000000,0.967974
0.020500,-5.407151,17.027805,0.160652,0.000000,0.967983
0.021000,-5.398632,17.037344,0.160525,0.000000,0.967993
0.021500,-5.390110,17.043396,0.160398,0.000000,0.968002
0.022000,-5.381587,17.046102,0.160272,0.000000,0.968011
0.022500,-5.373064,17.045632,0.160146,0.000000,0.968021
0.023000,-5.364543,17.042242,0.160020,0.000000,0.968030
0.023500,-5.356025,17.036116,0.159895,0.000000,0.968039
0.024000,-5.347512,17.027427,0.159769,0.000000,0.968049
0.024500,-5.339003,17.016341,0.159644,0.000000,0.968058
0.025000,-5.330502,17.003012,0.159519,0.000000,0.968067
0.025500,-5.322008,16.987586,0.159395,0.000000,0.968077
0.026000,-5.313523,16.970203,0.159270,0.000000,0.968086
0.026500,-5.305047,16.950992,0.159146,0.000000,0.968095
0.027000,-5.296582,16.930076,0.159022,0.000000,0.968105
0.027500,-5.288129,16.907572,0.158898,0.000000,0.968114
0.028000,-5.279687,16.883591,0.158774,0.000000,0.968123
0.028500,-5.271258,16.858234,0.158651,0.000000,0.968133
0.029000,-5.262842,16.831599,0.158528,0.000000,0.968142
0.029500,-5.254440,16.803780,0.158405,0.000000,0.968151
0.030000,-5.246053,16.774862,0.158282,0.000000,0.968160
0.030500,-5.237680,16.744928,0.158160,0.000000,0.968170
0.031000,-5.229323,16.714055,0.158038,0.000000,0.968179
0.031500,-5.220982,16.682315,0.157916,0.000000,0.968188
0.032000,-5.212657,16.649777,0.157794,0.000000,0.968198
0.032500,-5.204349,16.616506,0.157672,0.000000,0.968207
0.033000,-5.196058,16.582563,0.157551,0.000000,0.968216
0.033500,-5.187784,16.548004,0.157430,0.000000,0.968226
0.034000,-5.179527,16.512885,0.157309,0.000000,0.968235
0.034500,-5.171288,16.477255,0.157188,0.000000,0.968244
0.035000,-5.163068,16.441162,0.157068,0.000000,0.968254
0.035500,-5.154866,16.404653,0.156947,0.000000,0.968263
0.036000,-5.146682,16.367768,0.156827,0.000000,0.968272
0.036500,-5.138516,16.330547,0.156707,0.000000,0.968281
0.037000,-5.130370,16.293029,0.156588,0.000000,0.968291
0.037500,-5.122242,16.255248,0.156468,0.000000,0.968300
0.038000,-5.114134,16.217237,0.156349,0.000000,0.968309
0.038500,-5.106044,16.179027,0.156230,0.000000,0.968319
0.039000,-5.097974,16.140648,0.156111,0.000000,0.968328
0.039500,-5.089923,16.102126,0.155993,0.000000,0.968337
0.040000,-5.081891,16.063487,0.155874,0.000000,0.968346
0.040500,-5.073879,16.024755,0.155756,0.000000,0.968356
0.041000,-5.065886,15.985953,0.155638,0.000000,0.968365
0.041500,-5.057912,15.947102,0.155521,0.000000,0.968374
0.042000,-5.049958,15.908220,0.155403,0.000000,0.968383
0.042500,-5.042023,15.869328,0.155286,0.000000,0.968392
0.043000,-5.034108,15.830441,0.155169,0.000000,0.968402
0.043500,-5.026212,15.791575,0.155052,0.000000,0.968411
0.044000,-5.018336,15.752744,0.154935,0.000000,0.968420
0.044500,-5.010479,15.713962,0.154819,0.000000,0.968429
0.045000,-5.002641,15.675240,0.154702,0.000000,0.968438
0.045500,-4.994823,15.636592,0.154586,0.000000,0.968448
0.046000,-4.987024,15.598030,0.154470,0.000000,0.968457
0.046500,-4.979244,15.559563,0.154355,0.000000,0.968466
0.047000,-4.971484,15.521203,0.154239,0.000000,0.968475
0.047500,-4.963742,15.482960,0.154124,0.000000,0.968484
0.048000,-4.956020,15.444843,0.154009,0.000000,0.968493
0.048500,-4.948316,15.406860,0.153894,0.000000,0.968502
0.049000,-4.940632,15.369021,0.153779,0.000000,0.968511
0.049500,-4.932966,15.331333,0.153665,0.000000,0.968520
0.050000,-4.925319,15.293805,0.153550,0.000000,0.968529
0.050500,-4.917691,15.256432,0.153436,0.000000,0.968538
0.051000,-4.910081,15.219222,0.153322,0.000000,0.968547
0.051500,-4.902490,15.182177,0.153209,0.000000,0.968557
0.052000,-4.894918,15.145303,0.153095,0.000000,0.968566
0.052500,-4.887363,15.108603,0.152982,0.000000,0.968574
0.053000,-4.879827,15.072081,0.152869,0.000000,0.968583
0.053500,-4.872309,15.035738,0.152756,0.000000,0.968592
0.054000,-4.864810,14.999579,0.152643,0.000000,0.968601
0.054500,-4.857328,14.963606,0.152530,0.000000,0.968610
0.055000,-4.849864,14.927820,0.152418,0.000000,0.968619
0.055500,-4.842418,14.892223,0.152306,0.000000,0.968628
0.056000,-4.834989,14.856817,0.152194,0.000000,0.968637
0.056500,-4.827579,14.821604,0.152082,0.000000,0.968646
0.057000,-4.820185,14.786584,0.151970,0.000000,0.968655
0.057500,-4.812809,14.751758,0.151859,0.000000,0.968664
0.058000,-4.805451,14.717128,0.151748,0.000000,0.968672
0.058500,-4.798110,14.682693,0.151637,0.000000,0.968681
0.059000,-4.790785,14.648453,0.151526,0.000000,0.968690
0.059500,-4.783478,14.614410,0.151415,0.000000,0.968699
0.060000,-4.776188,14.580563,0.151305,0.000000,0.968707
0.060500,-4.768914,14.546912,0.151194,0.000000,0.968716
0.061000,-4.761658,14.513456,0.151084,0.000000,0.968725
0.061500,-4.754418,14.480196,0.150974,0.000000,0.968734
0.062000,-4.747194,14.447131,0.150864,0.000000,0.968742
0.062500,-4.739987,14.414260,0.150755,0.000000,0.968751
0.063000,-4.732796,14.381582,0.150645,0.000000,0.968760
0.063500,-4.725621,14.349098,0.150536,0.000000,0.968768
0.064000,-4.718463,14.316805,0.150427,0.000000,0.968777
0.064500,-4.711321,14.284704,0.150318,0.000000,0.968785
0.065000,-4.704194,14.252793,0.150209,0.000000,0.968794
0.065500,-4.697084,14.221070,0.150101,0.000000,0.968803
0.066000,-4.689989,14.189536,0.149993,0.000000,0.968811
0.066500,-4.682910,14.158188,0.149884,0.000000,0.968820
0.067000,-4.675846,14.127026,0.149776,0.000000,0.968828
0.067500,-4.668798,14.096047,0.149669,0.000000,0.968837
0.068000,-4.661766,14.065252,0.149561,0.000000,0.968845
0.068500,-4.654748,14.034638,0.149453,0.000000,0.968853
0.069000,-4.647746,14.004205,0.149346,0.000000,0.968862
0.069500,-4.640759,13.973950,0.149239,0.000000,0.968870
0.070000,-4.633787,13.943872,0.149132,0.000000,0.968879
0.070500,-4.626830,13.913970,0.149025,0.000000,0.968887
0.071000,-4.619888,13.884242,0.148919,0.000000,0.968895
0.071500,-4.612961,13.854687,0.148812,0.000000,0.968904
0.072000,-4.606048,13.825303,0.148706,0.000000,0.968912
0.072500,-4.599150,13.796088,0.148600,0.000000,0.968920
0.073000,-4.592267,13.767042,0.148494,0.000000,0.968929
0.073500,-4.585398,13.738162,0.148388,0.000000,0.968937
0.074000,-4.578543,13.709447,0.148283,0.000000,0.968945
0.074500,-4.571703,13.680895,0.148177,0.000000,0.968953
0.075000,-4.564876,13.652505,0.148072,0.000000,0.968961
0.075500,-4.558064,13.624275,0.147967,0.000000,0.968970
0.076000,-4.551266,13.596203,0.147862,0.000000,0.968978
0.076500,-4.544482,13.568288,0.147757,0.000000,0.968986
0.077000,-4.537712,13.540529,0.147653,0.000000,0.968994
0.077500,-4.530955,13.512923,0.147548,0.000000,0.969002
0.078000,-4.524212,13.485469,0.147444,0.000000,0.969010
0.078500,-4.517483,13.458166,0.147340,0.000000,0.969018
0.079000,-4.510768,13.431012,0.147236,0.000000,0.969026
0.079500,-4.504066,13.404005,0.147132,0.000000,0.969034
0.080000,-4.497377,13.377143,0.147029,0.000000,0.969042
0.080500,-4.490702,13.350426,0.146925,0.000000,0.969050
0.081000,-4.484040,13.323851,0.146822,0.000000,0.969058
0.081500,-4.477391,13.297418,0.146719,0.000000,0.969066
0.082000,-4.470756,13.271124,0.146616,0.000000,0.969074
0.082500,-4.464133,13.244968,0.146513,0.000000,0.969082
0.083000,-4.457524,13.218948,0.146411,0.000000,0.969090
0.083500,-4.450927,13.193064,0.146308,0.000000,0.969098
0.084000,-4.444344,13.167313,0.146206,0.000000,0.969105
0.084500,-4.437773,13.141694,0.146104,0.000000,0.969113
0.085000,-4.431215,13.116205,0.146002,0.000000,0.969121
0.085500,-4.424669,13.090846,0.145900,0.000000,0.969129
0.086000,-4.418137,13.065614,0.145798,0.000000,0.969137
0.086500,-4.411616,13.040508,0.145697,0.000000,0.969144
0.087000,-4.405109,13.015527,0.145595,0.000000,0.969152
0.087500,-4.398613,12.990670,0.145494,0.000000,0.969160
0.088000,-4.392130,12.965934,0.145393,0.000000,0.969167
0.088500,-4.385660,12.941320,0.145292,0.000000,0.969175
0.089000,-4.379201,12.916824,0.145192,0.000000,0.969183
0.089500,-4.372755,12.892446,0.145091,0.000000,0.969190
0.090000,-4.366321,12.868185,0.144991,0.000000,0.969198
0.090500,-4.359899,12.844039,0.144890,0.000000,0.969205
0.091000,-4.353489,12.820008,0.144790,0.000000,0.969213
0.091500,-4.347091,12.796088,0.144690,0.000000,0.969220
0.092000,-4.340705,12.772281,0.144591,0.000000,0.969228
0.092500,-4.334330,12.748583,0.144491,0.000000,0.969235
0.093000,-4.327968,12.724994,0.144391,0.000000,0.969243
0.093500,-4.321617,12.701513,0.144292,0.000000,0.969250
0.094000,-4.315278,12.678139,0.144193,0.000000,0.969258
0.094500,-4.308951,12.654870,0.144094,0.000000,0.969265
0.095000,-4.302635,12.631704,0.143995,0.000000,0.969273
0.095500,-4.296330,12.608642,0.143896,0.000000,0.969280
