time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,0.074000,0.000000,52.257099,148.000000
0.000500,0.148000,0.000000,52.257099,148.000000
0.001000,0.222000,0.000000,52.145927,148.000000
0.001500,0.296000,0.000000,52.070263,148.000000
0.002000,0.370000,0.000000,51.994856,148.000000
0.002500,0.444000,0.000000,51.919674,148.000000
0.003000,0.518000,0.000000,51.844692,148.000000
0.003500,0.592000,0.000000,51.769887,148.000000
0.004000,0.666000,0.000000,51.695237,148.000000
0.004500,0.740000,0.000000,51.620725,148.000000
0.005000,0.814000,0.000000,51.546333,148.000000
0.005500,0.888000,0.000000,51.472049,148.000000
0.006000,0.962000,0.000000,51.397860,148.000000
0.006500,1.036000,0.000000,51.323755,148.000000
0.007000,1.110000,0.000000,51.249726,148.000000
0.007500,1.184000,0.000000,51.175764,148.000000
0.008000,1.258000,0.000000,51.101864,148.000000
0.008500,1.332000,0.000000,51.028020,148.000000
0.009000,1.406000,0.000000,50.954229,148.000000
0.009500,1.480000,0.000000,50.880486,148.000000
0.010000,1.554000,0.000000,50.806789,148.000000
0.010500,1.628000,0.000000,50.733137,148.000000
0.011000,1.702000,0.000000,50.659528,148.000000
0.011500,1.776000,0.000000,50.585962,148.000000
0.012000,1.850000,0.000000,50.512439,148.000000
0.012500,1.924000,0.000000,50.438960,148.000000
0.013000,1.998000,0.000000,50.365524,148.000000
0.013500,2.072000,0.000000,50.292133,148.000000
0.014000,2.146000,0.000000,50.218788,148.000000
0.014500,2.220000,0.000000,50.145492,148.000000
0.015000,2.294000,0.000000,50.072245,148.000000
0.015500,2.368000,0.000000,49.999051,148.000000
0.016000,2.442000,0.000000,49.925910,148.000000
0.016500,2.516000,0.000000,49.852826,148.000000
0.017000,2.590000,0.000000,49.779800,148.000000
0.017500,2.664000,0.000000,49.706835,148.000000
0.018000,2.738000,0.000000,49.633934,148.000000
0.018500,2.812000,0.000000,49.561098,148.000000
0.019000,2.886000,0.000000,49.488331,148.000000
0.019500,2.960000,0.000000,49.415634,148.000000
0.020000,3.034000,0.000000,49.343011,148.000000
0.020500,3.108000,0.000000,49.270463,148.000000
0.021000,2.913500,0.000000,49.197993,-389.000000
0.021500,2.719000,0.000000,49.125596,-389.000000
0.022000,2.524500,0.000000,49.053276,-389.000000
0.022500,2.338821,0.000000,48.981037,-371.357812
0.023000,2.185870,0.000000,48.908883,-305.902777
0.023500,2.049381,0.000000,48.836819,-272.977558
0.024000,1.928343,0.000000,48.764847,-242.075665
0.024500,1.821801,0.000000,48.692972,-213.084923
0.025000,1.728851,0.000000,48.621197,-185.899251
0.025500,1.648642,0.000000,48.549525,-160.418328
0.026000,1.580368,0.000000,48.477959,-136.547280
0.026500,1.523270,0.000000,48.406500,-114.196381
0.027000,1.476630,0.000000,48.335153,-93.280780
0.027500,1.439770,0.000000,48.263917,-73.720230
0.028000,1.412050,0.000000,48.192797,-55.438839
0.028500,1.392868,0.000000,48.121793,-38.364838
0.029000,1.381652,0.000000,48.050907,-22.430354
0.029500,1.377867,0.000000,47.980140,-7.571196
0.030000,1.381004,0.000000,47.909495,6.273335
0.030500,1.390584,0.000000,47.838971,19.160646
0.031000,1.406156,0.000000,47.768570,31.145023
0.031500,1.427295,0.000000,47.698294,42.277802
0.032000,1.453599,0.000000,47.628142,52.607529
0.032500,1.484689,0.000000,47.558116,62.180110
0.033000,1.520209,0.000000,47.488216,71.038952
0.033500,1.559821,0.000000,47.418443,79.225104
0.034000,1.603210,0.000000,47.348797,86.777375
0.034500,1.650076,0.000000,47.279278,93.732464
0.035000,1.700139,0.000000,47.209887,100.125067
0.035500,1.753133,0.000000,47.140624,105.987990
0.036000,1.808809,0.000000,47.071489,111.352247
0.036500,1.866932,0.000000,47.002482,116.247160
0.037000,1.927283,0.000000,46.933604,120.700446
0.037500,1.989652,0.000000,46.864853,124.738308
0.038000,2.053844,0.000000,46.796230,128.385514
0.038500,2.119677,0.000000,46.727736,131.665474
0.039000,2.186977,0.000000,46.659369,134.600316
0.039500,2.255583,0.000000,46.591129,137.210951
0.040000,2.325341,0.000000,46.523017,139.517140
0.040500,2.396110,0.000000,46.455032,141.537559
0.041000,2.467755,0.000000,46.387173,143.289853
0.041500,2.540150,0.000000,46.319441,144.790694
0.042000,2.613178,0.000000,46.251835,146.055832
0.042500,2.686728,0.000000,46.184355,147.100145
0.043000,2.760697,0.000000,46.117000,147.937688
0.043500,2.834697,0.000000,46.049769,148.000000
0.044000,2.908697,0.000000,45.982664,148.000000
0.044500,2.982697,0.000000,45.915682,148.000000
0.045000,3.056697,0.000000,45.848824,148.000000
0.045500,3.130697,0.000000,45.782090,148.000000
0.046000,3.204697,0.000000,45.715478,148.000000
