time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002500,0.000000,306.315612,-55.610246,-70.239253,306.275169,0.000000
0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004000,354.741365,396.618137,-56.259155,-82.351564,751.305073,0.000000
0.004500,350.087441,395.054765,-56.214031,-81.235441,745.160346,0.000000
0.005000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005500,1208.408471,0.000000,54.282787,18.901895,1208.424689,0.000000
0.006000,1194.238563,0.000000,53.682065,16.986397,1194.286780,0.000000
0.006500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.007000,0.000000,315.299672,-57.249237,-72.209671,315.074170,0.000000
0.007500,355.689181,402.638597,-57.366253,-83.166193,758.154991,0.000000
0.008000,350.967045,400.912031,-57.293266,-81.952748,751.789167,0.000000
0.008500,346.277590,399.259313,-57.230321,-80.815858,745.524170,0.000000
0.009000,341.626701,397.679500,-57.177135,-79.751890,739.365340,0.000000
0.009500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,1194.970260,0.000000,53.527980,21.873322,1194.977902,0.000000
0.010500,1180.628022,0.000000,52.927029,19.857637,1180.673362,0.000000
0.011000,1166.950266,0.000000,52.353046,18.029572,1167.027564,0.000000
0.011500,1153.902084,0.000000,51.804645,16.377869,1154.006436,0.000000
0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012500,268.552496,388.698170,-58.738165,-82.104965,656.803726,0.000000
0.013000,267.809496,387.817894,-58.638267,-81.023649,655.276335,0.000000
0.013500,266.913038,386.966050,-58.548716,-80.001129,653.617803,0.000000
0.014000,265.877795,386.144157,-58.469275,-79.035621,651.844710,0.000000
0.014500,264.717616,385.353599,-58.399705,-78.125312,649.972646,0.000000
0.015000,263.445537,384.595621,-58.339764,-77.268368,648.016234,0.000000
0.015500,262.073801,383.871334,-58.289211,-76.462949,645.989139,0.000000
0.016000,260.613878,383.181717,-58.247804,-75.707215,643.904100,0.000000
0.016500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.017000,1175.424949,0.000000,52.556766,24.895226,1175.420025,0.000000
0.017500,1160.017819,0.000000,51.913210,22.764646,1160.057882,0.000000
0.018000,1145.343725,0.000000,51.299351,20.835980,1145.422009,0.000000
0.018500,1131.363214,0.000000,50.713623,19.096525,1131.473919,0.000000
0.019000,1118.039548,0.000000,50.154571,17.534570,1118.177717,0.000000
0.019500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,328.950677,-59.851180,-72.715675,328.472478,0.000000
0.020500,169.472022,369.968926,-59.840626,-77.301597,539.021750,0.000000
0.021000,172.711842,370.230079,-59.761328,-76.626941,542.607333,0.000000
0.021500,175.646049,370.471832,-59.691226,-75.980866,545.863064,0.000000
0.022000,178.295285,370.697885,-59.630154,-75.363759,548.813531,0.000000
0.022500,180.679054,370.911668,-59.577937,-74.775822,551.481907,0.000000
0.023000,182.815762,371.116357,-59.534397,-74.217094,553.889998,0.000000
0.023500,184.722756,371.314879,-59.499350,-73.687474,556.058293,0.000000
0.024000,186.416364,371.509926,-59.472607,-73.186737,558.006013,0.000000
0.024500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.025000,1152.575982,0.000000,51.516028,26.917353,1152.583722,0.000000
0.025500,1136.137414,0.000000,50.829176,24.695240,1136.196207,0.000000
0.026000,1120.504171,0.000000,50.175062,22.687487,1120.606335,0.000000
0.026500,1105.631867,0.000000,49.551911,20.879981,1105.770814,0.000000
0.027000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.027500,0.000000,331.949550,-60.441550,-71.964711,331.500148,0.000000
0.028000,132.337875,363.962186,-60.440308,-75.088545,495.901735,0.000000
0.028500,136.460580,364.759942,-60.412406,-74.692118,500.888859,0.000000
0.029000,140.285031,365.527153,-60.391866,-74.309844,505.543724,0.000000
0.029500,143.829195,366.267297,-60.378558,-73.942519,509.887919,0.000000
0.030000,147.110046,366.983601,-60.372345,-73.590776,513.941790,0.000000
0.030500,150.143607,367.679060,-60.373087,-73.255102,517.724491,0.000000
0.031000,152.944996,368.356444,-60.380639,-72.935851,521.254040,0.000000
0.031500,155.528463,369.018310,-60.394852,-72.633264,524.547376,0.000000
0.032000,157.907433,369.667017,-60.415578,-72.347481,527.620403,0.000000
0.032500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.033000,1134.186135,0.000000,50.714365,28.277396,1134.218402,0.000000
0.033500,1116.345921,0.000000,49.966110,25.875103,1116.437064,0.000000
0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.034500,0.000000,331.664422,-60.395594,-71.102951,331.329172,0.000000
0.035000,172.564846,373.902766,-60.474136,-74.741291,546.154447,0.000000
0.035500,173.649991,374.524337,-60.543467,-74.569293,547.897271,0.000000
0.036000,174.625891,375.142537,-60.617125,-74.407377,549.525769,0.000000
0.036500,175.499163,375.758399,-60.695003,-74.255566,551.047660,0.000000
0.037000,176.276021,376.372867,-60.776991,-74.113845,552.470159,0.000000
0.037500,179.897998,373.888451,-60.168696,-73.226090,553.638905,0.000000
0.038000,187.722545,366.888030,-58.551900,-71.245878,554.493985,0.000000
0.038500,195.222673,360.169820,-57.000966,-69.342936,555.304025,0.000000
0.039000,202.409744,353.725949,-55.513952,-67.515100,556.072741,0.000000
0.039500,209.294654,347.548693,-54.088965,-65.760241,556.803519,0.000000
0.040000,215.887860,341.630477,-52.724156,-64.076267,557.499439,0.000000
0.040500,222.199403,335.963880,-51.417725,-62.461126,558.163300,0.000000
0.041000,228.238928,330.541632,-50.167915,-60.912804,558.797648,0.000000
0.041500,234.015711,325.356611,-48.973015,-59.429330,559.404792,0.000000
0.042000,239.538668,320.401853,-47.831358,-58.008771,559.986827,0.000000
0.042500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.043000,1046.442108,0.000000,46.670040,30.039066,1046.472356,0.000000
0.043500,1031.588136,0.000000,46.043291,28.075012,1031.672892,0.000000
0.044000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.044500,180.050290,392.469573,-63.538185,-77.346377,572.213230,0.000000
0.045000,180.393923,392.788607,-63.592401,-77.014323,572.918892,0.000000
0.045500,180.655391,393.116466,-63.651456,-76.702994,573.548990,0.000000
0.046000,180.840041,393.453642,-63.715235,-76.411770,574.109463,0.000000
0.046500,180.952925,393.800569,-63.783621,-76.140034,574.605895,0.000000
0.047000,180.998809,394.157633,-63.856498,-75.887173,575.043530,0.000000
0.047500,180.982189,394.525166,-63.933754,-75.652579,575.427281,0.000000
0.048000,180.907296,394.903456,-64.015274,-75.435653,575.761750,0.000000
0.048500,180.778112,395.292745,-64.100946,-75.235802,576.051240,0.000000
0.049000,187.021079,388.901474,-62.669143,-73.397759,575.930530,0.000000
