time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,-1.718873,22.918312,0.102343,0.000000,0.971734
0.000500,-1.721385,-5.022681,0.102343,0.000000,0.971734
0.001000,-1.667059,108.651412,0.102161,0.000000,0.971737
0.001500,-1.771531,-208.943844,0.101979,0.000000,0.971737
0.002000,-1.707295,128.472541,0.101797,0.000000,0.971736
0.002500,-1.645348,123.893077,0.101615,0.000000,0.971732
0.003000,-1.744994,-199.291695,0.101434,0.000000,0.971726
0.003500,-1.678076,133.835159,0.101252,0.000000,0.971719
0.004000,-1.614000,128.153781,0.101070,0.000000,0.971708
0.004500,-1.552667,122.664894,0.100889,0.000000,0.971697
0.005000,-1.654130,-202.926316,0.100708,0.000000,0.971688
0.005500,-1.747531,-186.801273,0.100527,0.000000,0.971678
0.006000,-1.833136,-171.209504,0.100346,0.000000,0.971670
0.006500,-1.756630,153.011425,0.100165,0.000000,0.971664
0.007000,-1.682825,147.609788,0.099984,0.000000,0.971655
0.007500,-1.612138,141.373077,0.099803,0.000000,0.971645
0.008000,-1.544466,135.345578,0.099623,0.000000,0.971635
0.008500,-1.479705,129.521946,0.099442,0.000000,0.971626
0.009000,-1.417756,123.896919,0.099263,0.000000,0.971618
0.009500,-1.521314,-207.116065,0.099083,0.000000,0.971611
0.010000,-1.616760,-190.891003,0.098904,0.000000,0.971602
0.010500,-1.704362,-175.204147,0.098724,0.000000,0.971596
0.011000,-1.784377,-160.029451,0.098544,0.000000,0.971593
0.011500,-1.857048,-145.342448,0.098364,0.000000,0.971592
0.012000,-1.773116,167.864218,0.098184,0.000000,0.971593
0.012500,-1.692643,160.945986,0.098004,0.000000,0.971591
0.013000,-1.615515,154.254905,0.097825,0.000000,0.971588
0.013500,-1.541623,147.785298,0.097646,0.000000,0.971587
0.014000,-1.470857,141.531572,0.097467,0.000000,0.971585
0.014500,-1.403113,135.488227,0.097288,0.000000,0.971584
0.015000,-1.338288,129.649847,0.097110,0.000000,0.971583
0.015500,-1.276282,124.011109,0.096933,0.000000,0.971582
0.016000,-1.216999,118.566780,0.096755,0.000000,0.971582
0.016500,-1.326276,-218.553435,0.096578,0.000000,0.971582
0.017000,-1.426823,-201.095690,0.096401,0.000000,0.971581
0.017500,-1.518945,-184.242619,0.096223,0.000000,0.971583
0.018000,-1.602927,-167.964463,0.096045,0.000000,0.971587
0.018500,-1.679044,-152.233338,0.095868,0.000000,0.971593
0.019000,-1.747555,-137.023065,0.095690,0.000000,0.971601
0.019500,-1.664383,166.344548,0.095512,0.000000,0.971612
0.020000,-1.584331,160.103137,0.095334,0.000000,0.971619
0.020500,-1.507560,153.542777,0.095157,0.000000,0.971625
