time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,-0.194500,-3.466185,15.750233,-389.000000
0.000500,-0.389000,-3.466185,15.750233,-389.000000
0.001000,-0.315000,19.870701,15.420981,148.000000
0.001500,-0.509500,-50.000000,17.149280,-389.000000
0.002000,-0.435500,50.000000,10.159557,148.000000
0.002500,-0.630000,-50.000000,19.214061,-389.000000
0.003000,-0.824500,-50.000000,19.313865,-389.000000
0.003500,-0.750500,50.000000,5.313769,148.000000
0.004000,-0.945000,-50.000000,21.478822,-389.000000
0.004500,-1.139500,-50.000000,20.722615,-389.000000
0.005000,-1.334000,-50.000000,20.021486,-389.000000
0.005500,-1.260000,50.000000,2.020980,148.000000
0.006000,-1.186000,50.000000,4.862262,148.000000
0.006500,-1.112000,50.000000,7.324155,148.000000
0.007000,-1.306500,-50.000000,21.160621,-389.000000
0.007500,-1.501000,-50.000000,21.210470,-389.000000
0.008000,-1.695500,-50.000000,20.382001,-389.000000
0.008500,-1.890000,-50.000000,19.616017,-389.000000
0.009000,-2.084500,-50.000000,18.908000,-389.000000
0.009500,-2.279000,-50.000000,18.253703,-389.000000
0.010000,-2.205000,50.000000,2.787820,148.000000
0.010500,-2.131000,50.000000,5.497430,148.000000
0.011000,-2.057000,50.000000,7.834256,148.000000
0.011500,-1.983000,50.000000,9.828762,148.000000
0.012000,-1.909000,50.000000,11.508536,148.000000
0.012500,-2.103500,-50.000000,17.120426,-389.000000
0.013000,-2.298000,-50.000000,16.591407,-389.000000
0.013500,-2.492500,-50.000000,16.097325,-389.000000
0.014000,-2.687000,-50.000000,15.636042,-389.000000
0.014500,-2.881500,-50.000000,15.205496,-389.000000
0.015000,-3.076000,-50.000000,14.803706,-389.000000
0.015500,-3.270500,-50.000000,14.428772,-389.000000
0.016000,-3.465000,-50.000000,14.078877,-389.000000
0.016500,-3.659500,-50.000000,13.752286,-389.000000
0.017000,-3.585500,50.000000,7.631560,148.000000
0.017500,-3.511500,50.000000,9.945338,148.000000
0.018000,-3.437500,50.000000,11.880159,148.000000
0.018500,-3.363500,50.000000,13.469599,148.000000
0.019000,-3.289500,50.000000,14.743899,148.000000
0.019500,-3.215500,50.000000,15.730324,148.000000
0.020000,-3.410000,-50.000000,10.399847,-389.000000
0.020500,-3.604500,-50.000000,10.790078,-389.000000
0.021000,-3.799000,-50.000000,10.728412,-389.000000
0.021500,-3.993500,-50.000000,10.660580,-389.000000
0.022000,-4.188000,-50.000000,10.587657,-389.000000
0.022500,-4.382500,-50.000000,10.510569,-389.000000
0.023000,-4.577000,-50.000000,10.430105,-389.000000
0.023500,-4.771500,-50.000000,10.346940,-389.000000
0.024000,-4.966000,-50.000000,10.261645,-389.000000
0.024500,-5.160500,-50.000000,10.174702,-389.000000
0.025000,-5.086500,50.000000,10.623223,148.000000
0.025500,-5.012500,50.000000,12.631033,148.000000
0.026000,-4.938500,50.000000,14.253117,148.000000
0.026500,-4.864500,50.000000,15.526546,148.000000
0.027000,-4.790500,50.000000,16.484514,148.000000
0.027500,-4.985000,-50.000000,7.792092,-389.000000
0.028000,-5.179500,-50.000000,8.148845,-389.000000
0.028500,-5.374000,-50.000000,8.213439,-389.000000
0.029000,-5.568500,-50.000000,8.261129,-389.000000
0.029500,-5.763000,-50.000000,8.293646,-389.000000
0.030000,-5.957500,-50.000000,8.312554,-389.000000
0.030500,-6.152000,-50.000000,8.319259,-389.000000
0.031000,-6.346500,-50.000000,8.315032,-389.000000
0.031500,-6.541000,-50.000000,8.301016,-389.000000
0.032000,-6.735500,-50.000000,8.278240,-389.000000
0.032500,-6.930000,-50.000000,8.247631,-389.000000
0.033000,-6.856000,50.000000,10.162417,148.000000
0.033500,-6.782000,50.000000,12.243803,148.000000
0.034000,-6.708000,50.000000,13.908551,148.000000
0.034500,-6.902500,-50.000000,8.077853,-389.000000
0.035000,-7.097000,-50.000000,8.202497,-389.000000
0.035500,-7.291500,-50.000000,8.123646,-389.000000
0.036000,-7.486000,-50.000000,8.042479,-389.000000
0.036500,-7.680500,-50.000000,7.959281,-389.000000
0.037000,-7.875000,-50.000000,7.874310,-389.000000
0.037500,-8.069500,-49.305371,7.787795,-389.000000
0.038000,-8.264000,-47.597727,7.700052,-389.000000
0.038500,-8.458500,-45.951911,7.611392,-389.000000
0.039000,-8.653000,-44.366109,7.521911,-389.000000
0.039500,-8.847500,-42.838553,7.431696,-389.000000
0.040000,-9.042000,-41.367519,7.340828,-389.000000
0.040500,-9.236500,-39.951325,7.249380,-389.000000
0.041000,-9.431000,-38.588332,7.157420,-389.000000
0.041500,-9.625500,-37.276940,7.065009,-389.000000
0.042000,-9.820000,-36.015593,6.972204,-389.000000
0.042500,-10.014500,-34.802770,6.879057,-389.000000
0.043000,-9.940500,50.000000,5.821628,148.000000
0.043500,-9.866500,50.000000,7.459533,148.000000
0.044000,-9.792500,50.000000,8.794713,148.000000
0.044500,-9.987000,-50.000000,6.754086,-389.000000
0.045000,-10.181500,-50.000000,6.633884,-389.000000
0.045500,-10.376000,-50.000000,6.515033,-389.000000
0.046000,-10.570500,-50.000000,6.397554,-389.000000
0.046500,-10.765000,-50.000000,6.281455,-389.000000
0.047000,-10.959500,-50.000000,6.166733,-389.000000
0.047500,-11.154000,-50.000000,6.053377,-389.000000
0.048000,-11.348500,-50.000000,5.941368,-389.000000
0.048500,-11.543000,-50.000000,5.830681,-389.000000
0.049000,-11.737500,-48.477681,5.721286,-389.000000
0.049500,-11.932000,-46.742973,5.613393,-389.000000
0.050000,-12.126500,-45.073239,5.506933,-389.000000
0.050500,-12.321000,-43.466529,5.401797,-389.000000
0.051000,-12.247000,50.000000,3.097128,148.000000
0.051500,-12.173000,50.000000,5.217799,148.000000
0.052000,-12.099000,50.000000,6.958336,148.000000
0.052500,-12.293500,-25.347610,5.203660,-389.000000
0.053000,-12.488000,-25.834849,5.208198,-389.000000
0.053500,-12.682500,-26.326697,5.215851,-389.000000
0.054000,-12.877000,-26.822897,5.226592,-389.000000
0.054500,-13.071500,-27.323192,5.240389,-389.000000
0.055000,-13.266000,-27.827330,5.257202,-389.000000
0.055500,-13.460500,-28.335063,5.276985,-389.000000
0.056000,-13.655000,-27.930330,5.106923,-389.000000
0.056500,-13.849500,-27.536768,4.942790,-389.000000
0.057000,-14.044000,-27.154180,4.784190,-389.000000
0.057500,-14.238500,-26.782371,4.630747,-389.000000
0.058000,-14.433000,-26.421146,4.482111,-389.000000
0.058500,-14.627500,-26.070312,4.337954,-389.000000
0.059000,-14.822000,-25.729677,4.197969,-389.000000
0.059500,-15.016500,-25.399050,4.061867,-389.000000
0.060000,-15.211000,-25.078242,3.929380,-389.000000
0.060500,-15.405500,-24.767065,3.800254,-389.000000
0.061000,-15.600000,-24.465334,3.674254,-389.000000
0.061500,-15.794500,-24.172864,3.551161,-389.000000
0.062000,-15.989000,-23.889472,3.430768,-389.000000
0.062500,-16.183500,-23.614978,3.312885,-389.000000
0.063000,-16.378000,-23.349201,3.197331,-389.000000
0.063500,-16.572500,-23.091965,3.083939,-389.000000
0.064000,-16.767000,-22.843094,2.972556,-389.000000
0.064500,-16.961500,-22.602414,2.863035,-389.000000
0.065000,-17.156000,-22.369753,2.755241,-389.000000
0.065500,-17.350500,-22.144942,2.649050,-389.000000
0.066000,-17.545000,-21.927812,2.544344,-389.000000
0.066500,-17.739500,-21.718199,2.441016,-389.000000
0.067000,-17.934000,-21.515938,2.338964,-389.000000
0.067500,-18.128500,-21.320868,2.238094,-389.000000
0.068000,-18.323000,-21.132828,2.138322,-389.000000
0.068500,-18.517500,-20.951663,2.039564,-389.000000
0.069000,-18.712000,-20.777216,1.941748,-389.000000
0.069500,-18.906500,-20.609335,1.844805,-389.000000
0.070000,-19.101000,-20.447869,1.748669,-389.000000
0.070500,-19.295500,-20.292668,1.653283,-389.000000
0.071000,-19.490000,-20.143587,1.558591,-389.000000
0.071500,-19.684500,-20.000482,1.464544,-389.000000
0.072000,-19.879000,-19.863210,1.371094,-389.000000
0.072500,-20.073500,-19.731631,1.278199,-389.000000
0.073000,-20.268000,-19.605609,1.185818,-389.000000
0.073500,-20.462500,-19.485007,1.093917,-389.000000
0.074000,-20.657000,-19.369693,1.002460,-389.000000
0.074500,-20.583000,-19.259535,0.911418,148.000000
0.075000,-20.509000,-19.155259,0.820762,148.000000
0.075500,-20.435000,-19.056703,0.730464,148.000000
0.076000,-20.361000,-18.963709,0.640499,148.000000
0.076500,-20.287000,-18.876122,0.550842,148.000000
0.077000,-20.213000,-18.793793,0.461471,148.000000
0.077500,-20.139000,-18.716573,0.372367,148.000000
0.078000,-20.065000,-18.644319,0.283511,148.000000
0.078500,-19.991000,-18.576889,0.194886,148.000000
0.079000,-19.917000,-18.514145,0.106478,148.000000
0.079500,-19.843000,-18.455953,0.018274,148.000000
0.080000,-19.769000,-18.402182,-0.069741,148.000000
0.080500,-19.695000,-18.352704,-0.157576,148.000000
0.081000,-19.621000,-18.307392,-0.245242,148.000000
0.081500,-19.547000,-18.266124,-0.332748,148.000000
0.082000,-19.473000,-18.228782,-0.420103,148.000000
0.082500,-19.399000,-18.195248,-0.507314,148.000000
0.083000,-19.325000,-18.165408,-0.594389,148.000000
0.083500,-19.251000,-18.139152,-0.681332,148.000000
0.084000,-19.177000,-18.116371,-0.768150,148.000000
0.084500,-19.103000,-18.096960,-0.854848,148.000000
0.085000,-19.029000,-18.080815,-0.941430,148.000000
0.085500,-18.955000,-18.067836,-1.027900,148.000000
0.086000,-18.881000,-18.057925,-1.114262,148.000000
0.086500,-18.807000,-18.050987,-1.200519,148.000000
0.087000,-18.733000,-18.046928,-1.286673,148.000000
0.087500,-18.659000,-18.045658,-1.372728,148.000000
0.088000,-18.585000,-18.047089,-1.458685,148.000000
0.088500,-18.511000,-18.051134,-1.544546,148.000000
0.089000,-18.437000,-18.057709,-1.630314,148.000000
0.089500,-18.363000,-18.066734,-1.715989,148.000000
0.090000,-18.289000,-18.078128,-1.801574,148.000000
0.090500,-18.215000,-18.091814,-1.887068,148.000000
0.091000,-18.141000,-18.107717,-1.972474,148.000000
0.091500,-18.067000,-18.125764,-2.057792,148.000000
