time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,-0.194500,0.000000,15.750233,-389.000000
0.000500,-0.389000,0.000000,15.750233,-389.000000
0.001000,-0.583500,0.000000,15.596375,-389.000000
0.001500,-0.778000,0.000000,15.467995,-389.000000
0.002000,-0.972500,0.000000,15.385048,-389.000000
0.002500,-1.167000,0.000000,15.301726,-389.000000
0.003000,-1.361500,0.000000,15.218037,-389.000000
0.003500,-1.556000,0.000000,15.133992,-389.000000
0.004000,-1.750500,0.000000,15.049602,-389.000000
0.004500,-1.945000,0.000000,14.964878,-389.000000
0.005000,-2.139500,0.000000,14.879832,-389.000000
0.005500,-2.334000,0.000000,14.794476,-389.000000
0.006000,-2.528500,0.000000,14.708824,-389.000000
0.006500,-2.723000,0.000000,14.622887,-389.000000
0.007000,-2.917500,0.000000,14.536679,-389.000000
0.007500,-3.112000,0.000000,14.450213,-389.000000
0.008000,-3.306500,0.000000,14.363501,-389.000000
0.008500,-3.501000,0.000000,14.276557,-389.000000
0.009000,-3.695500,0.000000,14.189392,-389.000000
0.009500,-3.890000,0.000000,14.102019,-389.000000
0.010000,-4.084500,0.000000,14.014451,-389.000000
0.010500,-4.279000,0.000000,13.926699,-389.000000
0.011000,-4.473500,0.000000,13.838776,-389.000000
0.011500,-4.668000,0.000000,13.750693,-389.000000
0.012000,-4.862500,0.000000,13.662461,-389.000000
0.012500,-5.057000,0.000000,13.574091,-389.000000
0.013000,-5.251500,0.000000,13.485593,-389.000000
0.013500,-5.446000,0.000000,13.396978,-389.000000
0.014000,-5.640500,0.000000,13.308256,-389.000000
0.014500,-5.835000,0.000000,13.219437,-389.000000
0.015000,-6.029500,0.000000,13.130529,-389.000000
0.015500,-6.224000,0.000000,13.041542,-389.000000
0.016000,-6.418500,0.000000,12.952484,-389.000000
0.016500,-6.613000,0.000000,12.863363,-389.000000
0.017000,-6.807500,0.000000,12.774188,-389.000000
0.017500,-7.002000,0.000000,12.684965,-389.000000
0.018000,-7.196500,0.000000,12.595703,-389.000000
0.018500,-7.391000,0.000000,12.506408,-389.000000
0.019000,-7.585500,0.000000,12.417087,-389.000000
0.019500,-7.780000,0.000000,12.327746,-389.000000
0.020000,-7.974500,0.000000,12.238392,-389.000000
0.020500,-8.169000,0.000000,12.149029,-389.000000
0.021000,-8.363500,0.000000,12.059664,-389.000000
0.021500,-8.558000,0.000000,11.970302,-389.000000
0.022000,-8.752500,0.000000,11.880947,-389.000000
0.022500,-8.947000,0.000000,11.791605,-389.000000
0.023000,-9.141500,0.000000,11.702280,-389.000000
0.023500,-9.336000,0.000000,11.612975,-389.000000
0.024000,-9.530500,0.000000,11.523697,-389.000000
0.024500,-9.725000,0.000000,11.434447,-389.000000
0.025000,-9.919500,0.000000,11.345229,-389.000000
0.025500,-10.114000,0.000000,11.256048,-389.000000
0.026000,-10.308500,0.000000,11.166906,-389.000000
0.026500,-10.503000,0.000000,11.077806,-389.000000
0.027000,-10.697500,0.000000,10.988751,-389.000000
0.027500,-10.892000,0.000000,10.899744,-389.000000
0.028000,-11.086500,0.000000,10.810787,-389.000000
0.028500,-11.281000,0.000000,10.721883,-389.000000
0.029000,-11.475500,0.000000,10.633034,-389.000000
0.029500,-11.670000,0.000000,10.544242,-389.000000
0.030000,-11.864500,0.000000,10.455510,-389.000000
0.030500,-12.059000,0.000000,10.366837,-389.000000
0.031000,-12.253500,0.000000,10.278228,-389.000000
0.031500,-12.448000,0.000000,10.189683,-389.000000
0.032000,-12.642500,0.000000,10.101203,-389.000000
0.032500,-12.837000,0.000000,10.012791,-389.000000
0.033000,-13.031500,0.000000,9.924448,-389.000000
0.033500,-13.226000,0.000000,9.836174,-389.000000
0.034000,-13.420500,0.000000,9.747971,-389.000000
0.034500,-13.615000,0.000000,9.659840,-389.000000
0.035000,-13.809500,0.000000,9.571782,-389.000000
0.035500,-14.004000,0.000000,9.483798,-389.000000
