time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,-1.718873,20.053523,0.102343,0.000000,0.971734
0.000500,-1.715576,6.594437,0.102343,0.000000,0.971734
0.001000,-1.685563,60.025634,0.102184,0.000000,0.971736
0.001500,-1.764452,-157.777759,0.102025,0.000000,0.971736
0.002000,-1.681814,165.276155,0.101866,0.000000,0.971734
0.002500,-1.602919,157.790570,0.101706,0.000000,0.971729
0.003000,-1.690593,-175.348010,0.101548,0.000000,0.971723
0.003500,-1.770758,-160.331252,0.101389,0.000000,0.971717
0.004000,-1.689764,161.989957,0.101230,0.000000,0.971713
0.004500,-1.612386,154.754830,0.101071,0.000000,0.971705
0.005000,-1.538503,147.765352,0.100912,0.000000,0.971698
0.005500,-1.631106,-185.205743,0.100754,0.000000,0.971691
0.006000,-1.716083,-169.953422,0.100596,0.000000,0.971683
0.006500,-1.793678,-155.190918,0.100437,0.000000,0.971678
0.007000,-1.711771,163.814938,0.100279,0.000000,0.971675
0.007500,-1.633457,156.627013,0.100120,0.000000,0.971669
0.008000,-1.558617,149.680929,0.099962,0.000000,0.971663
0.008500,-1.487132,142.970498,0.099805,0.000000,0.971657
0.009000,-1.583066,-191.868590,0.099647,0.000000,0.971651
0.009500,-1.671175,-176.216928,0.099490,0.000000,0.971645
0.010000,-1.751712,-161.075559,0.099332,0.000000,0.971641
0.010500,-1.673657,156.111452,0.099174,0.000000,0.971640
0.011000,-1.598975,149.363565,0.099017,0.000000,0.971635
0.011500,-1.527554,142.841748,0.098859,0.000000,0.971630
0.012000,-1.459284,136.540222,0.098702,0.000000,0.971626
0.012500,-1.394057,130.453300,0.098546,0.000000,0.971622
0.013000,-1.496723,-205.332544,0.098390,0.000000,0.971618
0.013500,-1.591170,-188.893145,0.098233,0.000000,0.971614
0.014000,-1.677673,-173.005640,0.098077,0.000000,0.971612
0.014500,-1.756495,-157.643396,0.097920,0.000000,0.971612
0.015000,-1.679093,154.804028,0.097763,0.000000,0.971615
0.015500,-1.604953,148.279599,0.097607,0.000000,0.971614
0.016000,-1.533967,141.971155,0.097451,0.000000,0.971613
0.016500,-1.466031,135.873226,0.097295,0.000000,0.971612
0.017000,-1.401040,129.980432,0.097139,0.000000,0.971612
0.017500,-1.338897,124.287479,0.096984,0.000000,0.971611
0.018000,-1.279502,118.789162,0.096829,0.000000,0.971611
0.018500,-1.222762,113.480369,0.096675,0.000000,0.971612
0.019000,-1.335197,-224.869378,0.096520,0.000000,0.971612
0.019500,-1.438738,-207.083315,0.096366,0.000000,0.971612
0.020000,-1.533700,-189.923495,0.096211,0.000000,0.971613
0.020500,-1.620379,-173.358977,0.096056,0.000000,0.971618
0.021000,-1.699060,-157.360788,0.095902,0.000000,0.971624
0.021500,-1.625024,148.071238,0.095747,0.000000,0.971633
0.022000,-1.554023,142.001501,0.095592,0.000000,0.971638
0.022500,-1.485958,136.130540,0.095438,0.000000,0.971643
0.023000,-1.420731,130.453354,0.095284,0.000000,0.971647
0.023500,-1.358249,124.965025,0.095130,0.000000,0.971652
0.024000,-1.298419,119.660712,0.094977,0.000000,0.971656
0.024500,-1.241151,114.535656,0.094823,0.000000,0.971661
0.025000,-1.186358,109.585180,0.094671,0.000000,0.971665
0.025500,-1.133956,104.804690,0.094518,0.000000,0.971670
0.026000,-1.083861,100.189674,0.094366,0.000000,0.971674
0.026500,-1.205621,-243.520176,0.094214,0.000000,0.971678
0.027000,-1.317766,-224.290646,0.094062,0.000000,0.971681
0.027500,-1.420654,-205.774441,0.093910,0.000000,0.971687
0.028000,-1.514621,-187.935356,0.093758,0.000000,0.971695
0.028500,-1.456984,115.273810,0.093605,0.000000,0.971705
0.029000,-1.401588,110.793140,0.093453,0.000000,0.971711
0.029500,-1.348359,106.457966,0.093301,0.000000,0.971717
0.030000,-1.297227,102.264618,0.093150,0.000000,0.971723
0.030500,-1.248122,98.209487,0.092998,0.000000,0.971728
0.031000,-1.200977,94.289023,0.092848,0.000000,0.971734
0.031500,-1.155727,90.499741,0.092697,0.000000,0.971739
0.032000,-1.112308,86.838216,0.092547,0.000000,0.971744
0.032500,-1.070658,83.301085,0.092397,0.000000,0.971749
0.033000,-1.030715,79.885048,0.092247,0.000000,0.971754
0.033500,-0.992422,76.586864,0.092098,0.000000,0.971759
0.034000,-0.955720,73.403357,0.091949,0.000000,0.971763
0.034500,-1.093200,-274.958978,0.091800,0.000000,0.971768
0.035000,-1.220163,-253.927241,0.091651,0.000000,0.971771
0.035500,-1.337025,-233.724350,0.091502,0.000000,0.971777
0.036000,-1.302816,68.418997,0.091353,0.000000,0.971785
0.036500,-1.269359,66.913044,0.091204,0.000000,0.971789
0.037000,-1.236616,65.487332,0.091055,0.000000,0.971792
0.037500,-1.204899,63.432787,0.090907,0.000000,0.971794
0.038000,-1.174176,61.446961,0.090758,0.000000,0.971796
0.038500,-1.144412,59.527887,0.090611,0.000000,0.971798
0.039000,-1.115575,57.673648,0.090463,0.000000,0.971800
0.039500,-1.087634,55.882372,0.090316,0.000000,0.971802
0.040000,-1.060558,54.152232,0.090169,0.000000,0.971804
0.040500,-1.034317,52.481446,0.090022,0.000000,0.971806
0.041000,-1.008883,50.868277,0.089875,0.000000,0.971808
0.041500,-0.984227,49.311030,0.089729,0.000000,0.971810
0.042000,-0.960323,47.808050,0.089583,0.000000,0.971812
0.042500,-0.937145,46.357727,0.089437,0.000000,0.971814
0.043000,-0.914665,44.958490,0.089292,0.000000,0.971816
0.043500,-0.892861,43.608805,0.089146,0.000000,0.971818
0.044000,-0.871707,42.307182,0.089001,0.000000,0.971820
0.044500,-0.851181,41.052163,0.088856,0.000000,0.971822
0.045000,-0.831260,39.842332,0.088712,0.000000,0.971824
0.045500,-0.811922,38.676308,0.088567,0.000000,0.971826
0.046000,-0.793146,37.552744,0.088423,0.000000,0.971828
0.046500,-0.774910,36.470332,0.088279,0.000000,0.971830
0.047000,-0.757196,35.427793,0.088135,0.000000,0.971832
0.047500,-0.739985,34.423886,0.087992,0.000000,0.971834
0.048000,-0.723256,33.457400,0.087848,0.000000,0.971836
0.048500,-0.706992,32.527158,0.087705,0.000000,0.971838
0.049000,-0.691176,31.632013,0.087562,0.000000,0.971840
0.049500,-0.675791,30.770849,0.087419,0.000000,0.971842
0.050000,-0.660820,29.942581,0.087277,0.000000,0.971844
0.050500,-0.646246,29.146152,0.087134,0.000000,0.971846
0.051000,-0.725579,-158.665656,0.086992,0.000000,0.971848
0.051500,-0.798641,-146.123631,0.086849,0.000000,0.971848
0.052000,-0.865654,-134.025015,0.086707,0.000000,0.971850
0.052500,-0.926829,-122.350122,0.086564,0.000000,0.971853
0.053000,-0.982369,-111.080349,0.086421,0.000000,0.971857
0.053500,-0.918109,128.518851,0.086278,0.000000,0.971863
0.054000,-0.856526,123.165847,0.086136,0.000000,0.971866
0.054500,-0.797531,117.990095,0.085993,0.000000,0.971868
0.055000,-0.741038,112.987087,0.085851,0.000000,0.971870
0.055500,-0.686962,108.152390,0.085709,0.000000,0.971872
0.056000,-0.635221,103.481644,0.085568,0.000000,0.971874
0.056500,-0.585736,98.970562,0.085427,0.000000,0.971876
0.057000,-0.538428,94.614931,0.085286,0.000000,0.971878
0.057500,-0.493223,90.410616,0.085146,0.000000,0.971879
0.058000,-0.643683,-300.920969,0.085006,0.000000,0.971881
0.058500,-0.783551,-279.736008,0.084865,0.000000,0.971882
0.059000,-0.913275,-259.446790,0.084725,0.000000,0.971885
0.059500,-0.909169,8.212102,0.084584,0.000000,0.971889
0.060000,-0.903964,10.409040,0.084444,0.000000,0.971890
0.060500,-0.897692,12.545065,0.084303,0.000000,0.971889
0.061000,-0.890381,14.621583,0.084163,0.000000,0.971885
0.061500,-0.882061,16.639979,0.084023,0.000000,0.971880
0.062000,-0.872760,18.601619,0.083883,0.000000,0.971872
0.062500,-0.862508,20.504286,0.083743,0.000000,0.971863
0.063000,-0.851333,22.349319,0.083603,0.000000,0.971851
0.063500,-0.839264,24.138043,0.083463,0.000000,0.971838
0.064000,-0.827064,24.399815,0.083324,0.000000,0.971823
0.064500,-0.814745,24.639013,0.083184,0.000000,0.971809
0.065000,-0.802316,24.856624,0.083045,0.000000,0.971796
0.065500,-0.789790,25.053604,0.082906,0.000000,0.971784
0.066000,-0.777174,25.230874,0.082767,0.000000,0.971773
0.066500,-0.764480,25.389326,0.082628,0.000000,0.971762
0.067000,-0.751715,25.529817,0.082489,0.000000,0.971753
0.067500,-0.738888,25.653176,0.082351,0.000000,0.971744
0.068000,-0.726008,25.760204,0.082213,0.000000,0.971736
0.068500,-0.713082,25.851669,0.082075,0.000000,0.971729
0.069000,-0.700118,25.928316,0.081937,0.000000,0.971722
0.069500,-0.687123,25.990861,0.081799,0.000000,0.971716
0.070000,-0.674103,26.039993,0.081661,0.000000,0.971711
0.070500,-0.661064,26.076376,0.081524,0.000000,0.971706
0.071000,-0.648014,26.100651,0.081387,0.000000,0.971701
0.071500,-0.634957,26.113434,0.081250,0.000000,0.971698
0.072000,-0.621900,26.115317,0.081113,0.000000,0.971694
0.072500,-0.608846,26.106871,0.080976,0.000000,0.971692
0.073000,-0.595802,26.088644,0.080840,0.000000,0.971689
0.073500,-0.582771,26.061164,0.080703,0.000000,0.971687
0.074000,-0.569759,26.024939,0.080567,0.000000,0.971686
0.074500,-0.556769,25.980455,0.080431,0.000000,0.971684
0.075000,-0.543805,25.928180,0.080295,0.000000,0.971684
0.075500,-0.530870,25.868565,0.080160,0.000000,0.971683
0.076000,-0.517969,25.802040,0.080024,0.000000,0.971683
0.076500,-0.505105,25.729021,0.079889,0.000000,0.971683
0.077000,-0.492280,25.649904,0.079754,0.000000,0.971683
0.077500,-0.479497,25.565070,0.079619,0.000000,0.971684
0.078000,-0.466760,25.474886,0.079485,0.000000,0.971685
0.078500,-0.454070,25.379701,0.079350,0.000000,0.971686
0.079000,-0.441430,25.279851,0.079216,0.000000,0.971687
0.079500,-0.428842,25.176113,0.079082,0.000000,0.971688
0.080000,-0.416307,25.069339,0.078948,0.000000,0.971690
0.080500,-0.403827,24.959776,0.078814,0.000000,0.971692
0.081000,-0.391404,24.847663,0.078681,0.000000,0.971693
0.081500,-0.379037,24.733224,0.078547,0.000000,0.971696
