time(s),ankle_torque(Nm),exo_torque(Nm),gravity_torque(Nm),ankle_rtd(Nm/s)
0.000000,-0.194500,50.000000,67.834938,-389.000000
0.000500,-0.389000,50.000000,67.834938,-389.000000
0.001000,-0.583500,50.000000,67.736201,-389.000000
0.001500,-0.778000,47.421369,67.597803,-389.000000
0.002000,-0.972500,44.687302,67.435675,-389.000000
0.002500,-1.167000,42.340621,67.264796,-389.000000
0.003000,-1.361500,40.333925,67.094383,-389.000000
0.003500,-1.556000,38.625515,66.930281,-389.000000
0.004000,-1.750500,37.178687,66.775926,-389.000000
0.004500,-1.945000,35.961121,66.633064,-389.000000
0.005000,-2.139500,34.944347,66.502278,-389.000000
0.005500,-2.334000,34.103283,66.383374,-389.000000
0.006000,-2.528500,33.415831,66.275665,-389.000000
0.006500,-2.723000,32.862522,66.178172,-389.000000
0.007000,-2.917500,32.426209,66.089764,-389.000000
0.007500,-3.112000,32.091788,66.009262,-389.000000
0.008000,-3.306500,31.845967,65.935499,-389.000000
0.008500,-3.501000,31.677046,65.867371,-389.000000
0.009000,-3.695500,31.574736,65.803853,-389.000000
0.009500,-3.890000,31.529996,65.744021,-389.000000
0.010000,-4.084500,31.534881,65.687055,-389.000000
0.010500,-4.279000,31.582421,65.632234,-389.000000
0.011000,-4.473500,31.666502,65.578939,-389.000000
0.011500,-4.668000,31.781769,65.526641,-389.000000
0.012000,-4.862500,31.923535,65.474896,-389.000000
0.012500,-5.057000,32.087703,65.423335,-389.000000
0.013000,-5.251500,32.270699,65.371656,-389.000000
0.013500,-5.446000,32.469405,65.319616,-389.000000
0.014000,-5.640500,32.681109,65.267024,-389.000000
0.014500,-5.835000,32.903454,65.213732,-389.000000
0.015000,-6.029500,33.134399,65.159629,-389.000000
0.015500,-6.224000,33.372175,65.104637,-389.000000
0.016000,-6.418500,33.615259,65.048705,-389.000000
0.016500,-6.613000,33.862337,64.991801,-389.000000
0.017000,-6.807500,34.112286,64.933915,-389.000000
0.017500,-7.002000,34.364143,64.875048,-389.000000
0.018000,-7.196500,34.617090,64.815215,-389.000000
0.018500,-7.391000,34.870434,64.754439,-389.000000
0.019000,-7.585500,35.123591,64.692752,-389.000000
0.019500,-7.780000,35.376073,64.630188,-389.000000
0.020000,-7.974500,35.627475,64.566788,-389.000000
0.020500,-8.169000,35.877464,64.502594,-389.000000
0.021000,-8.363500,36.125771,64.437651,-389.000000
0.021500,-8.558000,36.372179,64.372001,-389.000000
0.022000,-8.752500,36.616521,64.305691,-389.000000
0.022500,-8.947000,36.858667,64.238764,-389.000000
0.023000,-9.141500,37.098524,64.171264,-389.000000
0.023500,-9.336000,37.336030,64.103233,-389.000000
0.024000,-9.530500,37.571146,64.034711,-389.000000
0.024500,-9.725000,37.803855,63.965738,-389.000000
0.025000,-9.919500,38.034160,63.896351,-389.000000
0.025500,-10.114000,38.262077,63.826586,-389.000000
0.026000,-10.308500,38.487637,63.756475,-389.000000
0.026500,-10.503000,38.710881,63.686051,-389.000000
0.027000,-10.697500,38.931857,63.615344,-389.000000
0.027500,-10.892000,39.150623,63.544381,-389.000000
0.028000,-11.086500,39.367240,63.473189,-389.000000
0.028500,-11.281000,39.581776,63.401793,-389.000000
0.029000,-11.475500,39.794299,63.330215,-389.000000
0.029500,-11.670000,40.004882,63.258476,-389.000000
0.030000,-11.864500,40.213598,63.186596,-389.000000
0.030500,-12.059000,40.420523,63.114594,-389.000000
0.031000,-12.253500,40.625731,63.042486,-389.000000
0.031500,-12.448000,40.829297,62.970288,-389.000000
0.032000,-12.642500,41.031295,62.898015,-389.000000
0.032500,-12.837000,41.231798,62.825678,-389.000000
0.033000,-13.031500,41.430879,62.753292,-389.000000
0.033500,-13.226000,41.628608,62.680865,-389.000000
0.034000,-13.152000,41.825055,62.608410,148.000000
0.034500,-13.078000,41.984092,62.535868,148.000000
0.035000,-13.004000,42.110382,62.463335,148.000000
0.035500,-12.930000,42.208018,62.390872,148.000000
0.036000,-12.856000,42.280591,62.318518,148.000000
0.036500,-12.782000,42.331255,62.246296,148.000000
0.037000,-12.708000,42.362776,62.174218,148.000000
0.037500,-12.634000,42.377582,62.102287,148.000000
0.038000,-12.560000,42.377800,62.030503,148.000000
0.038500,-12.486000,42.365296,61.958860,148.000000
0.039000,-12.412000,42.341707,61.887352,148.000000
