time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,-0.055825,3.572366,3.608450,0.000000
0.000500,0.000000,0.000000,-0.061712,3.949101,3.988991,0.000000
0.001000,420.676278,124.584948,-0.696754,-70.571251,545.258811,0.000000
0.001500,422.476843,124.711057,-0.633045,-70.681154,547.183216,0.000000
0.002000,424.205734,124.813722,-0.568866,-70.776943,549.012644,0.000000
0.002500,425.866006,124.893916,-0.504231,-70.859224,550.751121,0.000000
0.003000,427.460598,124.952573,-0.439152,-70.928581,552.402514,0.000000
0.003500,428.992332,124.990595,-0.373644,-70.985574,553.970544,0.000000
0.004000,430.463918,125.008848,-0.307718,-71.030743,555.458785,0.000000
0.004500,431.877961,125.008166,-0.241388,-71.064608,556.870671,0.000000
0.005000,433.236965,124.989352,-0.174665,-71.087669,558.209504,0.000000
0.005500,434.543332,124.953176,-0.107561,-71.100405,559.478454,0.000000
0.006000,435.799372,124.900383,-0.040090,-71.103279,560.680569,0.000000
0.006500,437.007300,124.831685,0.027738,-71.096735,561.818775,0.000000
0.007000,438.169246,124.747769,0.095912,-71.081200,562.895884,0.000000
0.007500,439.287254,124.649295,0.164420,-71.057085,563.914597,0.000000
0.008000,440.363286,124.536899,0.233251,-71.024783,564.877506,0.000000
0.008500,441.399227,124.411190,0.302395,-70.984675,565.787103,0.000000
0.009000,442.396884,124.272755,0.371840,-70.937123,566.645777,0.000000
0.009500,443.357992,124.122158,0.441578,-70.882478,567.455826,0.000000
0.010000,444.284217,123.959941,0.511598,-70.821075,568.219451,0.000000
0.010500,445.177158,123.786625,0.581889,-70.753237,568.938770,0.000000
0.011000,446.038346,123.602709,0.652444,-70.679273,569.615810,0.000000
0.011500,446.869253,123.408675,0.723252,-70.599481,570.252521,0.000000
0.012000,447.671290,123.204983,0.794304,-70.514145,570.850772,0.000000
0.012500,448.445809,122.992079,0.865592,-70.423539,571.412354,0.000000
0.013000,449.194108,122.770386,0.937107,-70.327926,571.938989,0.000000
0.013500,449.917430,122.540315,1.008841,-70.227556,572.432327,0.000000
0.014000,450.616968,122.302258,1.080785,-70.122672,572.893948,0.000000
0.014500,451.293866,122.056590,1.152932,-70.013505,573.325370,0.000000
0.015000,451.949217,121.803675,1.225274,-69.900277,573.728047,0.000000
0.015500,452.584073,121.543859,1.297803,-69.783200,574.103374,0.000000
0.016000,453.199439,121.277475,1.370513,-69.662478,574.452686,0.000000
0.016500,453.796278,121.004843,1.443395,-69.538306,574.777263,0.000000
0.017000,454.375514,120.726268,1.516444,-69.410871,575.078333,0.000000
0.017500,454.938029,120.442045,1.589652,-69.280352,575.357071,0.000000
0.018000,455.484670,120.152455,1.663014,-69.146921,575.614601,0.000000
0.018500,456.016247,119.857770,1.736522,-69.010741,575.852003,0.000000
0.019000,456.533536,119.558246,1.810171,-68.871970,576.070308,0.000000
0.019500,457.037278,119.254134,1.883955,-68.730757,576.270504,0.000000
0.020000,457.528182,118.945669,1.957868,-68.587246,576.453537,0.000000
0.020500,458.006929,118.633082,2.031904,-68.441576,576.620311,0.000000
0.021000,458.474167,118.316588,2.106058,-68.293876,576.771694,0.000000
0.021500,458.930518,117.996399,2.180325,-68.144273,576.908512,0.000000
0.022000,459.376576,117.672712,2.254700,-67.992886,577.031559,0.000000
0.022500,459.812907,117.345721,2.329177,-67.839830,577.141591,0.000000
0.023000,460.240054,117.015609,2.403753,-67.685215,577.239332,0.000000
0.023500,460.658535,116.682550,2.478422,-67.529146,577.325475,0.000000
0.024000,461.068845,116.346713,2.553181,-67.371721,577.400681,0.000000
0.024500,461.471457,116.008258,2.628023,-67.213036,577.465581,0.000000
0.025000,461.866821,115.667338,2.702947,-67.053181,577.520779,0.000000
0.025500,462.255368,115.324101,2.777947,-66.892244,577.566850,0.000000
0.026000,462.637510,114.978686,2.853020,-66.730307,577.604346,0.000000
0.026500,463.013637,114.631228,2.928161,-66.567449,577.633789,0.000000
0.027000,463.384124,114.281854,3.003368,-66.403744,577.655682,0.000000
0.027500,463.749328,113.930687,3.078637,-66.239264,577.670501,0.000000
0.028000,464.109586,113.577843,3.153964,-66.074077,577.678703,0.000000
0.028500,464.465224,113.223434,3.229346,-65.908247,577.680720,0.000000
0.029000,464.816550,112.867565,3.304780,-65.741837,577.676966,0.000000
0.029500,465.163856,112.510339,3.380262,-65.574903,577.667836,0.000000
0.030000,465.507422,112.151852,3.455791,-65.407503,577.653705,0.000000
0.030500,465.847514,111.792195,3.531363,-65.239688,577.634929,0.000000
0.031000,466.184385,111.431457,3.606976,-65.071509,577.611849,0.000000
0.031500,466.518275,111.069721,3.682626,-64.903014,577.584788,0.000000
0.032000,466.849413,110.707067,3.758312,-64.734247,577.554053,0.000000
