time(s),ankle_angle(deg),ankle_velocity(deg/s),body_com_x(m),body_com_y(m),body_com_z(m)
0.000000,-7.448451,17.188734,0.193027,0.000000,0.964451
0.000500,-7.441964,12.973917,0.193027,0.000000,0.964451
0.001000,-7.435367,13.194722,0.192892,0.000000,0.964467
0.001500,-7.428664,13.406220,0.192757,0.000000,0.964482
0.002000,-7.421860,13.608661,0.192622,0.000000,0.964497
0.002500,-7.414958,13.802290,0.192487,0.000000,0.964512
0.003000,-7.407965,13.987349,0.192353,0.000000,0.964526
0.003500,-7.400883,14.164073,0.192219,0.000000,0.964541
0.004000,-7.393716,14.332695,0.192086,0.000000,0.964556
0.004500,-7.386470,14.493442,0.191953,0.000000,0.964570
0.005000,-7.379146,14.646537,0.191820,0.000000,0.964584
0.005500,-7.371750,14.792200,0.191687,0.000000,0.964598
0.006000,-7.364285,14.930645,0.191555,0.000000,0.964613
0.006500,-7.356754,15.062081,0.191423,0.000000,0.964627
0.007000,-7.349161,15.186715,0.191291,0.000000,0.964641
0.007500,-7.341508,15.304749,0.191159,0.000000,0.964654
0.008000,-7.333800,15.416379,0.191028,0.000000,0.964668
0.008500,-7.326039,15.521798,0.190897,0.000000,0.964682
0.009000,-7.318229,15.621197,0.190767,0.000000,0.964695
0.009500,-7.310371,15.714759,0.190637,0.000000,0.964709
0.010000,-7.302470,15.802665,0.190507,0.000000,0.964723
0.010500,-7.294527,15.885092,0.190377,0.000000,0.964736
0.011000,-7.286546,15.962212,0.190248,0.000000,0.964749
0.011500,-7.278529,16.034195,0.190119,0.000000,0.964763
0.012000,-7.270478,16.101206,0.189990,0.000000,0.964776
0.012500,-7.262397,16.163405,0.189862,0.000000,0.964789
0.013000,-7.254286,16.220950,0.189734,0.000000,0.964803
0.013500,-7.246149,16.273994,0.189606,0.000000,0.964816
0.014000,-7.237988,16.322687,0.189478,0.000000,0.964829
0.014500,-7.229804,16.367175,0.189351,0.000000,0.964842
0.015000,-7.221601,16.407601,0.189224,0.000000,0.964855
0.015500,-7.213378,16.444104,0.189097,0.000000,0.964868
0.016000,-7.205140,16.476820,0.188971,0.000000,0.964881
0.016500,-7.196887,16.505880,0.188845,0.000000,0.964894
0.017000,-7.188621,16.531414,0.188719,0.000000,0.964907
0.017500,-7.180345,16.553548,0.188594,0.000000,0.964920
0.018000,-7.172058,16.572402,0.188469,0.000000,0.964933
0.018500,-7.163764,16.588097,0.188344,0.000000,0.964946
0.019000,-7.155464,16.600749,0.188219,0.000000,0.964959
0.019500,-7.147159,16.610470,0.188095,0.000000,0.964972
0.020000,-7.138850,16.617369,0.187971,0.000000,0.964984
0.020500,-7.130539,16.621555,0.187847,0.000000,0.964997
0.021000,-7.122228,16.623131,0.187724,0.000000,0.965010
0.021500,-7.113917,16.622197,0.187601,0.000000,0.965023
0.022000,-7.105607,16.618853,0.187478,0.000000,0.965035
0.022500,-7.097301,16.613194,0.187355,0.000000,0.965048
0.023000,-7.088998,16.605312,0.187233,0.000000,0.965061
0.023500,-7.080700,16.595298,0.187111,0.000000,0.965074
0.024000,-7.072409,16.583239,0.186990,0.000000,0.965086
0.024500,-7.064124,16.569220,0.186868,0.000000,0.965099
0.025000,-7.055847,16.553325,0.186747,0.000000,0.965111
0.025500,-7.047580,16.535632,0.186626,0.000000,0.965124
0.026000,-7.039322,16.516220,0.186506,0.000000,0.965137
0.026500,-7.031074,16.495165,0.186386,0.000000,0.965149
0.027000,-7.022838,16.472539,0.186266,0.000000,0.965162
0.027500,-7.014613,16.448413,0.186146,0.000000,0.965174
0.028000,-7.006402,16.422856,0.186027,0.000000,0.965187
0.028500,-6.998204,16.395935,0.185908,0.000000,0.965199
0.029000,-6.990020,16.367714,0.185789,0.000000,0.965212
0.029500,-6.981851,16.338256,0.185670,0.000000,0.965224
0.030000,-6.973697,16.307622,0.185552,0.000000,0.965237
0.030500,-6.965559,16.275869,0.185434,0.000000,0.965249
0.031000,-6.957438,16.243055,0.185316,0.000000,0.965262
0.031500,-6.949333,16.209234,0.185199,0.000000,0.965274
0.032000,-6.941246,16.174460,0.185082,0.000000,0.965287
0.032500,-6.933177,16.138784,0.184965,0.000000,0.965299
0.033000,-6.925125,16.102255,0.184848,0.000000,0.965311
0.033500,-6.917093,16.064922,0.184732,0.000000,0.965324
0.034000,-6.909080,16.026830,0.184616,0.000000,0.965336
0.034500,-6.901086,15.988025,0.184500,0.000000,0.965349
0.035000,-6.893111,15.948549,0.184385,0.000000,0.965361
0.035500,-6.885157,15.908444,0.184269,0.000000,0.965373
0.036000,-6.877223,15.867751,0.184154,0.000000,0.965385
0.036500,-6.869310,15.826508,0.184040,0.000000,0.965398
0.037000,-6.861418,15.784753,0.183925,0.000000,0.965410
0.037500,-6.853546,15.742521,0.183811,0.000000,0.965422
0.038000,-6.845696,15.699847,0.183697,0.000000,0.965434
0.038500,-6.837868,15.656766,0.183584,0.000000,0.965447
0.039000,-6.830061,15.613308,0.183470,0.000000,0.965459
