time(s),ankle_angle(deg),ankle_velocity(deg/s)
0.000000,-1.718873,17.188734
0.000500,-1.712475,12.797015
0.001000,-1.706148,12.654509
0.001500,-1.699885,12.525577
0.002000,-1.693680,12.410582
0.002500,-1.687525,12.309808
0.003000,-1.681413,12.223474
0.003500,-1.675337,12.151733
0.004000,-1.669290,12.094684
0.004500,-1.663264,12.052370
0.005000,-1.657251,12.024787
0.005500,-1.651245,12.011888
0.006000,-1.645238,12.013584
0.006500,-1.639224,12.029754
0.007000,-1.633193,12.060241
0.007500,-1.627141,12.104861
0.008000,-1.621059,12.163404
0.008500,-1.614941,12.235638
0.009000,-1.608781,12.321310
0.009500,-1.602571,12.420149
0.010000,-1.596305,12.531870
0.010500,-1.589977,12.656175
0.011000,-1.583580,12.792754
0.011500,-1.577110,12.941289
0.012000,-1.570559,13.101453
0.012500,-1.563922,13.272916
0.013000,-1.557195,13.455341
0.013500,-1.550371,13.648388
0.014000,-1.543445,13.851717
0.014500,-1.536412,14.064987
0.015000,-1.529268,14.287856
0.015500,-1.522008,14.519983
0.016000,-1.514628,14.761031
0.016500,-1.507122,15.010665
0.017000,-1.499488,15.268552
0.017500,-1.491721,15.534365
0.018000,-1.483817,15.807781
0.018500,-1.475773,16.088482
0.019000,-1.467585,16.376155
0.019500,-1.459250,16.670494
0.020000,-1.450764,16.971198
0.020500,-1.442125,17.277974
0.021000,-1.433330,17.590533
0.021500,-1.424375,17.908596
0.022000,-1.415259,18.231889
0.022500,-1.405979,18.560147
0.023000,-1.396533,18.893109
0.023500,-1.386918,19.230525
0.024000,-1.377132,19.572150
0.024500,-1.367173,19.917747
0.025000,-1.357039,20.267088
0.025500,-1.346729,20.619949
0.026000,-1.336241,20.976117
0.026500,-1.325573,21.335383
0.027000,-1.314725,21.697548
0.027500,-1.303693,22.062418
0.028000,-1.292478,22.429807
0.028500,-1.281079,22.799536
0.029000,-1.269493,23.171432
0.029500,-1.257720,23.545330
0.030000,-1.245760,23.921070
0.030500,-1.233611,24.298501
0.031000,-1.221272,24.677475
0.031500,-1.208743,25.057852
0.032000,-1.196023,25.439498
0.032500,-1.183112,25.822284
0.033000,-1.170009,26.206089
0.033500,-1.156714,26.590794
0.034000,-1.143225,26.976288
0.034500,-1.129544,27.362464
0.035000,-1.115670,27.749221
0.035500,-1.101601,28.136463
0.036000,-1.087339,28.524098
0.036500,-1.072883,28.912038
0.037000,-1.058233,29.300202
0.037500,-1.043389,29.688510
0.038000,-1.028350,30.076888
0.038500,-1.013118,30.465267
0.039000,-0.997691,30.853580
0.039500,-0.982070,31.241765
0.040000,-0.966255,31.629762
0.040500,-0.950247,32.017517
0.041000,-0.934044,32.404976
0.041500,-0.917648,32.792091
0.042000,-0.901059,33.178816
0.042500,-0.884276,33.565107
0.043000,-0.867301,33.950925
0.043500,-0.850132,34.336232
0.044000,-0.832772,34.720992
0.044500,-0.815219,35.105172
0.045000,-0.797475,35.488744
0.045500,-0.779539,35.871678
0.046000,-0.761412,36.253948
0.046500,-0.743094,36.635530
0.047000,-0.724586,37.016402
0.047500,-0.705888,37.396544
0.048000,-0.687000,37.775936
0.048500,-0.667923,38.154563
0.049000,-0.648656,38.532408
0.049500,-0.629224,38.864278
0.050000,-0.609652,39.144097
0.050500,-0.589965,39.373787
0.051000,-0.570188,39.555251
0.051500,-0.550343,39.690368
0.052000,-0.530452,39.780991
0.052500,-0.510538,39.828947
