time(s),human_ankle_torque(Nm),exo_ankle_torque(Nm),ankle_gravity_torque(Nm)
0.000000,0.000000,1.319275,-5.388369
0.000500,0.000000,1.319275,-5.388369
0.001000,0.000000,4.987328,-5.453478
0.001500,0.000000,5.048000,-5.501750
0.002000,0.000000,5.097983,-5.549673
0.002500,0.000000,5.136915,-5.597259
0.003000,0.000000,5.164493,-5.644522
0.003500,0.000000,5.180470,-5.691472
0.004000,0.000000,5.184651,-5.738120
0.004500,0.000000,5.176890,-5.784475
0.005000,0.000000,5.157081,-5.830549
0.005500,0.000000,5.125162,-5.876348
0.006000,0.000000,5.081105,-5.921883
0.006500,0.000000,5.024915,-5.967161
0.007000,0.000000,4.956630,-6.012192
0.007500,0.000000,4.876312,-6.056982
0.008000,0.000000,4.784051,-6.101540
0.008500,0.000000,4.679958,-6.145873
0.009000,0.000000,4.564164,-6.189989
0.009500,0.000000,4.436816,-6.233895
0.010000,0.000000,4.298080,-6.277598
0.010500,0.000000,4.148134,-6.321107
0.011000,0.000000,3.987168,-6.364428
0.011500,0.000000,3.815384,-6.407568
0.012000,0.000000,3.632992,-6.450535
0.012500,0.000000,3.440209,-6.493336
0.013000,0.000000,3.237259,-6.535978
0.013500,0.000000,3.024371,-6.578467
0.014000,0.000000,2.801780,-6.620811
0.014500,0.000000,2.569720,-6.663018
0.015000,0.000000,2.328431,-6.705093
0.015500,0.000000,2.078152,-6.747043
0.016000,0.000000,1.819124,-6.788876
0.016500,0.000000,1.551587,-6.830598
0.017000,0.000000,1.275780,-6.872215
0.017500,0.000000,0.991940,-6.913735
0.018000,0.000000,0.700305,-6.955163
0.018500,0.000000,0.401108,-6.996506
0.019000,0.000000,0.094579,-7.037771
0.019500,0.000000,-0.219052,-7.078963
0.020000,0.000000,-0.539563,-7.120088
0.020500,0.000000,-0.866733,-7.161152
0.021000,0.000000,-1.200344,-7.202161
0.021500,0.000000,-1.540185,-7.243120
0.022000,0.000000,-1.886048,-7.284036
0.022500,0.000000,-2.237730,-7.324913
0.023000,0.000000,-2.595032,-7.365756
0.023500,0.000000,-2.957761,-7.406571
0.024000,0.000000,-3.325727,-7.447362
0.024500,0.000000,-3.698748,-7.488134
0.025000,0.000000,-4.076645,-7.528892
0.025500,0.000000,-4.459243,-7.569640
0.026000,0.000000,-4.846375,-7.610382
0.026500,0.000000,-5.237878,-7.651122
0.027000,0.000000,-5.633593,-7.691865
0.027500,0.000000,-6.033366,-7.732613
0.028000,0.000000,-6.437051,-7.773372
0.028500,0.000000,-6.844503,-7.814143
0.029000,0.000000,-7.255585,-7.854931
0.029500,0.000000,-7.670163,-7.895739
0.030000,0.000000,-8.088109,-7.936569
0.030500,0.000000,-8.509299,-7.977425
0.031000,0.000000,-8.933613,-8.018308
0.031500,0.000000,-9.360937,-8.059223
0.032000,0.000000,-9.791162,-8.100170
0.032500,0.000000,-10.224181,-8.141153
0.033000,0.000000,-10.659893,-8.182174
0.033500,0.000000,-11.098200,-8.223234
0.034000,0.000000,-11.539010,-8.264336
0.034500,0.000000,-11.982232,-8.305481
0.035000,0.000000,-12.427783,-8.346670
0.035500,0.000000,-12.875580,-8.387906
0.036000,0.000000,-13.325545,-8.429190
0.036500,0.000000,-13.777603,-8.470524
0.037000,0.000000,-14.231685,-8.511907
0.037500,0.000000,-14.687722,-8.553342
0.038000,0.000000,-15.145650,-8.594829
0.038500,0.000000,-15.605407,-8.636370
0.039000,0.000000,-16.066936,-8.677965
0.039500,0.000000,-16.530180,-8.719615
0.040000,0.000000,-16.995088,-8.761320
0.040500,0.000000,-17.461609,-8.803081
0.041000,0.000000,-17.929697,-8.844898
0.041500,0.000000,-18.399306,-8.886773
0.042000,0.000000,-18.870395,-8.928704
0.042500,0.000000,-19.342923,-8.970693
0.043000,0.000000,-19.816852,-9.012740
0.043500,0.000000,-20.292147,-9.054844
0.044000,0.000000,-20.768775,-9.097006
0.044500,0.000000,-21.246703,-9.139226
0.045000,0.000000,-21.725901,-9.181504
0.045500,0.000000,-22.206343,-9.223839
0.046000,0.000000,-22.688001,-9.266231
0.046500,0.000000,-23.170850,-9.308681
0.047000,0.000000,-23.654868,-9.351187
0.047500,0.000000,-24.140034,-9.393750
0.048000,0.000000,-24.626325,-9.436369
0.048500,0.000000,-25.113725,-9.479044
0.049000,0.000000,-25.602215,-9.521775
0.049500,0.000000,-26.091778,-9.564560
0.050000,0.000000,-26.544665,-9.608070
0.050500,0.000000,-26.955592,-9.652365
0.051000,0.000000,-27.325925,-9.697385
0.051500,0.000000,-27.657027,-9.743071
0.052000,0.000000,-27.950245,-9.789367
0.052500,0.000000,-28.206918,-9.836219
0.053000,0.000000,-28.428369,-9.883577
0.053500,0.000000,-28.615902,-9.931392
0.054000,0.000000,-28.770807,-9.979617
0.054500,0.000000,-28.894353,-10.028208
0.055000,0.000000,-28.987787,-10.077123
0.055500,0.000000,-29.052335,-10.126323
0.056000,0.000000,-29.089198,-10.175771
0.056500,0.000000,-29.099553,-10.225431
0.057000,0.000000,-29.122014,-10.274652
0.057500,0.000000,-29.163025,-10.323345
0.058000,0.000000,-29.215908,-10.371641
0.058500,0.000000,-29.276099,-10.419629
0.059000,0.000000,-29.340495,-10.467371
0.059500,0.000000,-29.406995,-10.514910
0.060000,0.000000,-29.474188,-10.562274
0.060500,0.000000,-29.541136,-10.609483
0.061000,0.000000,-29.607228,-10.656550
0.061500,0.000000,-29.672071,-10.703485
0.062000,0.000000,-29.735429,-10.750295
0.062500,0.000000,-29.797164,-10.796984
0.063000,0.000000,-29.857209,-10.843555
0.063500,0.000000,-29.915547,-10.890010
0.064000,0.000000,-29.972187,-10.936352
0.064500,0.000000,-30.027163,-10.982582
0.065000,0.000000,-30.080520,-11.028700
0.065500,0.000000,-30.132310,-11.074707
0.066000,0.000000,-30.182591,-11.120604
0.066500,0.000000,-30.231425,-11.166392
0.067000,0.000000,-30.278873,-11.212071
0.067500,0.000000,-30.324994,-11.257642
0.068000,0.000000,-30.369851,-11.303106
0.068500,0.000000,-30.413500,-11.348462
0.069000,0.000000,-30.456001,-11.393711
0.069500,0.000000,-30.497408,-11.438854
0.070000,0.000000,-30.537775,-11.483891
0.070500,0.000000,-30.577154,-11.528823
0.071000,0.000000,-30.615594,-11.573650
0.071500,0.000000,-30.653144,-11.618372
0.072000,0.000000,-30.689850,-11.662991
0.072500,0.000000,-30.725756,-11.707506
0.073000,0.000000,-30.760905,-11.751918
0.073500,0.000000,-30.795338,-11.796228
0.074000,0.000000,-30.829094,-11.840435
0.074500,0.000000,-30.862210,-11.884542
0.075000,0.000000,-30.894723,-11.928547
0.075500,0.000000,-30.926666,-11.972451
0.076000,0.000000,-30.958075,-12.016255
0.076500,0.000000,-30.988979,-12.059959
0.077000,0.000000,-31.019409,-12.103565
0.077500,0.000000,-31.049394,-12.147071
0.078000,0.000000,-31.078963,-12.190479
0.078500,0.000000,-31.108141,-12.233789
0.079000,0.000000,-31.136954,-12.277001
0.079500,0.000000,-31.165426,-12.320117
0.080000,0.000000,-31.193581,-12.363136
0.080500,0.000000,-31.221440,-12.406059
0.081000,0.000000,-31.249025,-12.448886
0.081500,0.000000,-31.276355,-12.491618
0.082000,0.000000,-31.303449,-12.534254
0.082500,0.000000,-31.330327,-12.576797
0.083000,0.000000,-31.357006,-12.619245
0.083500,0.000000,-31.383501,-12.661600
0.084000,0.000000,-31.409829,-12.703862
0.084500,0.000000,-31.436005,-12.746030
0.085000,0.000000,-31.462042,-12.788107
0.085500,0.000000,-31.487955,-12.830091
0.086000,0.000000,-31.513757,-12.871984
0.086500,0.000000,-31.539458,-12.913786
0.087000,0.000000,-31.565072,-12.955496
0.087500,0.000000,-31.590608,-12.997117
0.088000,0.000000,-31.616078,-13.038647
0.088500,0.000000,-31.641490,-13.080087
0.089000,0.000000,-31.666855,-13.121439
0.089500,0.000000,-31.692180,-13.162701
0.090000,0.000000,-31.717474,-13.203875
0.090500,0.000000,-31.742744,-13.244960
0.091000,0.000000,-31.767999,-13.285958
0.091500,0.000000,-31.793244,-13.326868
0.092000,0.000000,-31.818486,-13.367691
0.092500,0.000000,-31.843731,-13.408427
0.093000,0.000000,-31.868985,-13.449077
0.093500,0.000000,-31.894253,-13.489641
0.094000,0.000000,-31.919539,-13.530119
0.094500,0.000000,-31.944849,-13.570511
0.095000,0.000000,-31.970186,-13.610818
0.095500,0.000000,-31.995554,-13.651041
0.096000,0.000000,-32.020957,-13.691179
0.096500,0.000000,-32.046398,-13.731233
0.097000,0.000000,-32.071880,-13.771203
0.097500,0.000000,-32.097407,-13.811089
0.098000,0.000000,-32.122980,-13.850892
0.098500,0.000000,-32.148601,-13.890613
0.099000,0.000000,-32.174274,-13.930250
0.099500,0.000000,-32.199999,-13.969806
0.100000,0.000000,-32.225778,-14.009279
0.100500,0.000000,-32.251613,-14.048671
0.101000,0.000000,-32.277506,-14.087981
0.101500,0.000000,-32.303456,-14.127210
0.102000,0.000000,-32.329465,-14.166358
0.102500,0.000000,-32.355535,-14.205426
0.103000,0.000000,-32.381664,-14.244413
0.103500,0.000000,-32.407855,-14.283320
0.104000,0.000000,-32.434107,-14.322147
0.104500,0.000000,-32.460420,-14.360895
0.105000,0.000000,-32.486795,-14.399564
0.105500,0.000000,-32.513231,-14.438153
0.106000,0.000000,-32.539729,-14.476664
0.106500,0.000000,-32.566288,-14.515096
0.107000,0.000000,-32.592908,-14.553450
0.107500,0.000000,-32.619588,-14.591727
0.108000,0.000000,-32.646328,-14.629925
0.108500,0.000000,-32.673127,-14.668046
0.109000,0.000000,-32.699985,-14.706089
0.109500,0.000000,-32.726900,-14.744056
0.110000,0.000000,-32.753873,-14.781945
