time(s),front_contact_force(N),back_contact_force(N),foot_rotation_constraint(N),slide_x_constraint(N),slide_z_constraint(N),ankle_hinge_constraint(N)
0.000000,0.000000,0.000000,1.023839,12.642550,39.369242,0.000000
0.000500,0.000000,0.000000,1.024204,13.987580,41.193531,0.000000
0.001000,330.242345,59.979524,4.075772,-10.543077,390.221560,0.000000
0.001500,333.294737,59.728984,4.143703,-8.599480,393.023246,0.000000
0.002000,336.205641,59.525606,4.200291,-6.725528,395.730721,0.000000
0.002500,338.974669,59.371469,4.245159,-4.922040,398.345654,0.000000
0.003000,341.601798,59.268322,4.277993,-3.189550,400.869750,0.000000
0.003500,344.087335,59.217607,4.298538,-1.528334,403.304743,0.000000
0.004000,346.431887,59.220484,4.306595,0.061574,405.652384,0.000000
0.004500,348.636333,59.277853,4.302011,1.580352,407.914440,0.000000
0.005000,350.701798,59.390373,4.284684,3.028375,410.092683,0.000000
0.005500,352.629626,59.558487,4.254552,4.406194,412.188892,0.000000
0.006000,354.421360,59.782435,4.211591,5.714518,414.204845,0.000000
0.006500,356.078723,60.062278,4.155812,6.954198,416.142316,0.000000
0.007000,357.603594,60.397910,4.087259,8.126210,418.003076,0.000000
0.007500,358.997996,60.789077,4.006005,9.231639,419.788890,0.000000
0.008000,360.264074,61.235392,3.912148,10.271670,421.501514,0.000000
0.008500,361.404086,61.736346,3.805810,11.247570,423.142694,0.000000
0.009000,362.420383,62.291324,3.687133,12.160679,424.714165,0.000000
0.009500,363.315400,62.899616,3.556280,13.012398,426.217653,0.000000
0.010000,364.091643,63.560429,3.413428,13.804180,427.654870,0.000000
0.010500,364.751676,64.272896,3.258770,14.537519,429.027514,0.000000
0.011000,365.298115,65.036088,3.092511,15.213945,430.337271,0.000000
0.011500,365.733613,65.849021,2.914868,15.835009,431.585813,0.000000
0.012000,366.060855,66.710665,2.726065,16.402285,432.774794,0.000000
0.012500,366.282548,67.619952,2.526338,16.917356,433.905855,0.000000
0.013000,366.401413,68.575781,2.315925,17.381811,434.980619,0.000000
0.013500,366.420179,69.577029,2.095073,17.797240,436.000691,0.000000
0.014000,366.341577,70.622551,1.864030,18.165230,436.967660,0.000000
0.014500,366.168333,71.711191,1.623050,18.487357,437.883095,0.000000
0.015000,365.903160,72.841781,1.372387,18.765184,438.748546,0.000000
0.015500,365.548758,74.013152,1.112297,19.000260,439.565542,0.000000
0.016000,365.107806,75.224133,0.843038,19.194113,440.335592,0.000000
0.016500,364.582957,76.473554,0.564864,19.348249,441.060183,0.000000
0.017000,363.976837,77.760256,0.278031,19.464149,441.740779,0.000000
0.017500,363.292038,79.083085,-0.017206,19.543268,442.378823,0.000000
0.018000,362.531118,80.440902,-0.320598,19.587032,442.975731,0.000000
0.018500,361.696595,81.832580,-0.631894,19.596837,443.532897,0.000000
0.019000,360.790948,83.257009,-0.950849,19.574047,444.051689,0.000000
0.019500,359.816609,84.713098,-1.277220,19.519994,444.533450,0.000000
0.020000,358.775968,86.199774,-1.610769,19.435976,444.979495,0.000000
0.020500,357.671365,87.715985,-1.951262,19.323257,445.391116,0.000000
0.021000,356.505092,89.260703,-2.298467,19.183067,445.769572,0.000000
0.021500,355.279390,90.832920,-2.652160,19.016600,446.116100,0.000000
0.022000,353.996449,92.431654,-3.012120,18.825014,446.431906,0.000000
0.022500,352.658406,94.055945,-3.378131,18.609433,446.718168,0.000000
0.023000,351.267343,95.704862,-3.749981,18.370945,446.976036,0.000000
0.023500,349.825290,97.377494,-4.127466,18.110601,447.206629,0.000000
0.024000,348.334221,99.072961,-4.510385,17.829420,447.411041,0.000000
0.024500,346.796056,100.790404,-4.898544,17.528383,447.590331,0.000000
0.025000,345.212659,102.528992,-5.291752,17.208439,447.745535,0.000000
0.025500,343.585839,104.287921,-5.689827,16.870500,447.877655,0.000000
0.026000,341.917351,106.066411,-6.092588,16.515448,447.987664,0.000000
0.026500,340.208894,107.863707,-6.499864,16.144128,448.076509,0.000000
0.027000,338.462112,109.679082,-6.911486,15.757355,448.145105,0.000000
0.027500,336.678596,111.511832,-7.327293,15.355912,448.194337,0.000000
0.028000,334.859883,113.361278,-7.747127,14.940549,448.225065,0.000000
