time(s),hip_angle(deg),hip_velocity(deg/s)
0.000000,5.729578,0.000000
0.000500,5.730295,1.434696
0.001000,5.731564,2.537323
0.001500,5.733340,3.553008
0.002000,5.735582,4.484069
0.002500,5.738249,5.332878
0.003000,5.741300,6.101850
0.003500,5.744697,6.793428
0.004000,5.748402,7.410076
0.004500,5.752379,7.954267
0.005000,5.756593,8.428475
0.005500,5.761011,8.835166
0.006000,5.765599,9.176790
0.006500,5.770327,9.455778
0.007000,5.775164,9.674531
0.007500,5.780082,9.835420
0.008000,5.785052,9.940776
0.008500,5.790049,9.992891
0.009000,5.795046,9.994012
0.009500,5.800019,9.946337
0.010000,5.804945,9.852016
0.010500,5.809801,9.713144
0.011000,5.814567,9.531765
0.011500,5.819222,9.309865
0.012000,5.823747,9.049373
0.012500,5.828123,8.752164
0.013000,5.832333,8.420052
0.013500,5.836360,8.054794
0.014000,5.840189,7.658088
0.014500,5.843805,7.231574
0.015000,5.847194,6.776836
0.015500,5.850341,6.295399
0.016000,5.853236,5.788730
0.016500,5.855865,5.258244
0.017000,5.858218,4.705295
0.017500,5.860283,4.131189
0.018000,5.862052,3.537175
0.018500,5.863514,2.924451
0.019000,5.864661,2.294163
0.019500,5.865485,1.647408
0.020000,5.865977,0.985235
0.020500,5.866132,0.308646
0.021000,5.865941,-0.381405
0.021500,5.865399,-1.084007
0.022000,5.864500,-1.798292
0.022500,5.863238,-2.523436
0.023000,5.861609,-3.258653
0.023500,5.859607,-4.003198
0.024000,5.857229,-4.756363
0.024500,5.854470,-5.517477
0.025000,5.851327,-6.285906
0.025500,5.847797,-7.061047
0.026000,5.843876,-7.842331
0.026500,5.839561,-8.629221
0.027000,5.834850,-9.421210
0.027500,5.829741,-10.217820
0.028000,5.824232,-11.018600
0.028500,5.818321,-11.823128
0.029000,5.812005,-12.631005
0.029500,5.805284,-13.441857
0.030000,5.798156,-14.255335
0.030500,5.790621,-15.071111
0.031000,5.782676,-15.888879
0.031500,5.774322,-16.708351
0.032000,5.765558,-17.529263
0.032500,5.756382,-18.351365
0.033000,5.746795,-19.174426
0.033500,5.736796,-19.998234
0.034000,5.726384,-20.822590
0.034500,5.715561,-21.647310
0.035000,5.704325,-22.472227
0.035500,5.692676,-23.297185
0.036000,5.680615,-24.122042
0.036500,5.668142,-24.946668
0.037000,5.655256,-25.770943
0.037500,5.641959,-26.594760
0.038000,5.628250,-27.418022
0.038500,5.614129,-28.240639
0.039000,5.599598,-29.062534
0.039500,5.584656,-29.883634
0.040000,5.569304,-30.703879
0.040500,5.553543,-31.523211
0.041000,5.537372,-32.341584
0.041500,5.520793,-33.158955
0.042000,5.503805,-33.975290
0.042500,5.486410,-34.790557
0.043000,5.468607,-35.604733
0.043500,5.450398,-36.417797
0.044000,5.431784,-37.229736
0.044500,5.412763,-38.040537
0.045000,5.393338,-38.850194
0.045500,5.373509,-39.658704
0.046000,5.353276,-40.466066
0.046500,5.332640,-41.272283
0.047000,5.311601,-42.077362
0.047500,5.290160,-42.881309
0.048000,5.268318,-43.684136
0.048500,5.246075,-44.485855
0.049000,5.223432,-45.286480
0.049500,5.200453,-45.958449
0.050000,5.177209,-46.487006
0.050500,5.153769,-46.880164
0.051000,5.130196,-47.145627
0.051500,5.106551,-47.290800
0.052000,5.082890,-47.322792
0.052500,5.059265,-47.248428
0.053000,5.035728,-47.074254
0.053500,5.012325,-46.806544
0.054000,4.989099,-46.451307
0.054500,4.966092,-46.014292
0.055000,4.943342,-45.500999
0.055500,4.920883,-44.916680
0.056000,4.898750,-44.266348
0.056500,4.876910,-43.681326
0.057000,4.855319,-43.181127
0.057500,4.833949,-42.740526
0.058000,4.812778,-42.342123
0.058500,4.791791,-41.973913
0.059000,4.770977,-41.627606
0.059500,4.750328,-41.297475
0.060000,4.729838,-40.979552
0.060500,4.709503,-40.671086
0.061000,4.689318,-40.370159
0.061500,4.669280,-40.075428
0.062000,4.649387,-39.785945
0.062500,4.629637,-39.501034
0.063000,4.610026,-39.220208
0.063500,4.590555,-38.943109
0.064000,4.571220,-38.669468
0.064500,4.552021,-38.399078
0.065000,4.532955,-38.131776
0.065500,4.514021,-37.867430
0.066000,4.495218,-37.605927
0.066500,4.476544,-37.347173
0.067000,4.457999,-37.091081
0.067500,4.439580,-36.837576
0.068000,4.421287,-36.586588
0.068500,4.403118,-36.338050
0.069000,4.385072,-36.091902
0.069500,4.367148,-35.848085
0.070000,4.349345,-35.606545
0.070500,4.331661,-35.367227
0.071000,4.314096,-35.130083
0.071500,4.296648,-34.895061
0.072000,4.279317,-34.662117
0.072500,4.262102,-34.431204
0.073000,4.245001,-34.202278
0.073500,4.228013,-33.975299
0.074000,4.211138,-33.750225
0.074500,4.194374,-33.527017
0.075000,4.177722,-33.305637
0.075500,4.161178,-33.086049
0.076000,4.144744,-32.868217
0.076500,4.128418,-32.652108
0.077000,4.112199,-32.437689
0.077500,4.096087,-32.224928
0.078000,4.080080,-32.013794
0.078500,4.064178,-31.804257
0.079000,4.048380,-31.596290
0.079500,4.032685,-31.389865
0.080000,4.017092,-31.184955
0.080500,4.001602,-30.981533
0.081000,3.986212,-30.779577
0.081500,3.970922,-30.579060
0.082000,3.955732,-30.379961
0.082500,3.940641,-30.182257
0.083000,3.925648,-29.985925
0.083500,3.910753,-29.790946
0.084000,3.895954,-29.597300
0.084500,3.881252,-29.404965
0.085000,3.866645,-29.213925
0.085500,3.852133,-29.024160
0.086000,3.837715,-28.835653
0.086500,3.823391,-28.648387
0.087000,3.809159,-28.462345
0.087500,3.795021,-28.277512
0.088000,3.780974,-28.093871
0.088500,3.767018,-27.911409
0.089000,3.753153,-27.730111
0.089500,3.739378,-27.549963
0.090000,3.725693,-27.370951
0.090500,3.712096,-27.193062
0.091000,3.698588,-27.016284
0.091500,3.685168,-26.840604
0.092000,3.671835,-26.666011
0.092500,3.658588,-26.492493
0.093000,3.645428,-26.320039
0.093500,3.632354,-26.148638
0.094000,3.619365,-25.978280
0.094500,3.606460,-25.808954
0.095000,3.593640,-25.640651
0.095500,3.580903,-25.473361
0.096000,3.568250,-25.307075
0.096500,3.555679,-25.141784
0.097000,3.543190,-24.977478
0.097500,3.530783,-24.814151
0.098000,3.518457,-24.651792
0.098500,3.506212,-24.490395
0.099000,3.494047,-24.329951
0.099500,3.481962,-24.170453
0.100000,3.469956,-24.011894
0.100500,3.458029,-23.854265
0.101000,3.446180,-23.697561
0.101500,3.434409,-23.541774
0.102000,3.422716,-23.386897
0.102500,3.411099,-23.232925
0.103000,3.399559,-23.079850
0.103500,3.388095,-22.927666
0.104000,3.376707,-22.776368
0.104500,3.365394,-22.625949
0.105000,3.354156,-22.476404
0.105500,3.342992,-22.327727
0.106000,3.331902,-22.179912
0.106500,3.320886,-22.032953
0.107000,3.309942,-21.886846
0.107500,3.299072,-21.741586
0.108000,3.288273,-21.597166
0.108500,3.277546,-21.453583
0.109000,3.266891,-21.310830
0.109500,3.256306,-21.168904
0.110000,3.245792,-21.027799
0.110500,3.235349,-20.887511
0.111000,3.224975,-20.748034
0.111500,3.214670,-20.609366
0.112000,3.204434,-20.471500
0.112500,3.194267,-20.334433
0.113000,3.184168,-20.198160
0.113500,3.174137,-20.062676
0.114000,3.164173,-19.927979
0.114500,3.154275,-19.794063
0.115000,3.144445,-19.660925
0.115500,3.134681,-19.528559
0.116000,3.124982,-19.396963
0.116500,3.115349,-19.266132
0.117000,3.105781,-19.136063
0.117500,3.096278,-19.006751
0.118000,3.086839,-18.878192
0.118500,3.077464,-18.750383
0.119000,3.068152,-18.623320
0.119500,3.058903,-18.497000
0.120000,3.049718,-18.371417
0.120500,3.040594,-18.246570
0.121000,3.031533,-18.122453
0.121500,3.022534,-17.999064
0.122000,3.013595,-17.876399
0.122500,3.004718,-17.754455
0.123000,2.995902,-17.633227
0.123500,2.987145,-17.512712
0.124000,2.978449,-17.392907
0.124500,2.969812,-17.273809
0.125000,2.961234,-17.155413
0.125500,2.952715,-17.037717
0.126000,2.944255,-16.920716
0.126500,2.935853,-16.804409
0.127000,2.927508,-16.688790
0.127500,2.919221,-16.573857
0.128000,2.910992,-16.459607
0.128500,2.902819,-16.346036
0.129000,2.894702,-16.233141
0.129500,2.886642,-16.120918
0.130000,2.878637,-16.009365
0.130500,2.870688,-15.898478
0.131000,2.862793,-15.788254
0.131500,2.854954,-15.678689
0.132000,2.847169,-15.569780
0.132500,2.839439,-15.461525
0.133000,2.831762,-15.353920
0.133500,2.824138,-15.246961
0.134000,2.816568,-15.140646
0.134500,2.809050,-15.034971
0.135000,2.801585,-14.929933
0.135500,2.794173,-14.825530
0.136000,2.786812,-14.721757
0.136500,2.779502,-14.618613
0.137000,2.772244,-14.516093
0.137500,2.765037,-14.414195
0.138000,2.757881,-14.312915
0.138500,2.750775,-14.212250
0.139000,2.743719,-14.112198
0.139500,2.736712,-14.012756
0.140000,2.729755,-13.913919
0.140500,2.722847,-13.815686
0.141000,2.715988,-13.718053
0.141500,2.709178,-13.621017
0.142000,2.702416,-13.524576
0.142500,2.695701,-13.428725
0.143000,2.689034,-13.333462
0.143500,2.682415,-13.238785
0.144000,2.675843,-13.144690
0.144500,2.669317,-13.051174
0.145000,2.662838,-12.958234
0.145500,2.656405,-12.865867
0.146000,2.650018,-12.774071
0.146500,2.643677,-12.682842
0.147000,2.637380,-12.592177
0.147500,2.631129,-12.502074
0.148000,2.624923,-12.412530
0.148500,2.618761,-12.323541
0.149000,2.612644,-12.235105
0.149500,2.606570,-12.147219
0.150000,2.600540,-12.059880
0.150500,2.594554,-11.973086
0.151000,2.588610,-11.886832
0.151500,2.582710,-11.801117
0.152000,2.576852,-11.715938
0.152500,2.571036,-11.631291
0.153000,2.565263,-11.547175
0.153500,2.559531,-11.463585
0.154000,2.553841,-11.380520
0.154500,2.548192,-11.297977
0.155000,2.542584,-11.215952
0.155500,2.537016,-11.134444
0.156000,2.531490,-11.053448
0.156500,2.526003,-10.972963
0.157000,2.520557,-10.892986
0.157500,2.515150,-10.813514
0.158000,2.509783,-10.734544
0.158500,2.504455,-10.656074
0.159000,2.499166,-10.578101
0.159500,2.493915,-10.500622
0.160000,2.488703,-10.423634
0.160500,2.483530,-10.347135
0.161000,2.478394,-10.271122
0.161500,2.473296,-10.195593
0.162000,2.468236,-10.120545
0.162500,2.463213,-10.045974
0.163000,2.458227,-9.971880
0.163500,2.453278,-9.898258
0.164000,2.448366,-9.825106
0.164500,2.443489,-9.752423
0.165000,2.438649,-9.680204
0.165500,2.433845,-9.608448
0.166000,2.429076,-9.537153
0.166500,2.424343,-9.466314
0.167000,2.419645,-9.395931
0.167500,2.414982,-9.326000
0.168000,2.410354,-9.256518
0.168500,2.405760,-9.187484
0.169000,2.401201,-9.118895
0.169500,2.396676,-9.050749
0.170000,2.392184,-8.983042
0.170500,2.387726,-8.915773
0.171000,2.383302,-8.848938
0.171500,2.378910,-8.782536
0.172000,2.374552,-8.716564
0.172500,2.370227,-8.651020
0.173000,2.365934,-8.585901
0.173500,2.361673,-8.521205
0.174000,2.357445,-8.456929
0.174500,2.353248,-8.393071
0.175000,2.349083,-8.329629
0.175500,2.344950,-8.266600
0.176000,2.340848,-8.203983
0.176500,2.336777,-8.141773
0.177000,2.332737,-8.079970
0.177500,2.328728,-8.018571
0.178000,2.324749,-7.957574
0.178500,2.320801,-7.896976
0.179000,2.316882,-7.836775
0.179500,2.312994,-7.776968
0.180000,2.309135,-7.717555
0.180500,2.305306,-7.658531
0.181000,2.301506,-7.599896
0.181500,2.297735,-7.541646
0.182000,2.293993,-7.483780
0.182500,2.290280,-7.426295
0.183000,2.286595,-7.369190
0.183500,2.282939,-7.312461
0.184000,2.279311,-7.256107
0.184500,2.275711,-7.200126
0.185000,2.272139,-7.144515
0.185500,2.268594,-7.089273
0.186000,2.265077,-7.034396
0.186500,2.261587,-6.979884
0.187000,2.258124,-6.925734
0.187500,2.254688,-6.871943
0.188000,2.251279,-6.818511
0.188500,2.247896,-6.765433
0.189000,2.244540,-6.712710
0.189500,2.241209,-6.660338
0.190000,2.237905,-6.608316
0.190500,2.234627,-6.556641
0.191000,2.231374,-6.505311
0.191500,2.228147,-6.454325
0.192000,2.224945,-6.403680
0.192500,2.221769,-6.353374
0.193000,2.218617,-6.303406
0.193500,2.215490,-6.253774
0.194000,2.212388,-6.204475
0.194500,2.209310,-6.155507
0.195000,2.206257,-6.106869
0.195500,2.203227,-6.058558
0.196000,2.200222,-6.010574
0.196500,2.197241,-5.962913
0.197000,2.194283,-5.915574
0.197500,2.191349,-5.868555
0.198000,2.188438,-5.821854
0.198500,2.185550,-5.775469
0.199000,2.182685,-5.729398
0.199500,2.179843,-5.683641
0.200000,2.177024,-5.638193
0.200500,2.174228,-5.593055
0.201000,2.171454,-5.548224
0.201500,2.168702,-5.503698
0.202000,2.165972,-5.459475
0.202500,2.163264,-5.415554
0.203000,2.160578,-5.371933
0.203500,2.157914,-5.328610
0.204000,2.155271,-5.285583
0.204500,2.152650,-5.242851
0.205000,2.150050,-5.200411
0.205500,2.147470,-5.158263
0.206000,2.144912,-5.116403
0.206500,2.142375,-5.074832
0.207000,2.139858,-5.033546
0.207500,2.137362,-4.992545
0.208000,2.134886,-4.951826
0.208500,2.132430,-4.911388
0.209000,2.129995,-4.871230
0.209500,2.127579,-4.831348
0.210000,2.125183,-4.791743
0.210500,2.122807,-4.752412
0.211000,2.120450,-4.713353
0.211500,2.118113,-4.674566
0.212000,2.115795,-4.636048
0.212500,2.113496,-4.597798
0.213000,2.111216,-4.559813
0.213500,2.108955,-4.522094
0.214000,2.106713,-4.484637
0.214500,2.104489,-4.447442
0.215000,2.102284,-4.410507
0.215500,2.100097,-4.373830
0.216000,2.097928,-4.337410
0.216500,2.095777,-4.301246
0.217000,2.093645,-4.265335
0.217500,2.091530,-4.229676
0.218000,2.089433,-4.194268
0.218500,2.087353,-4.159109
0.219000,2.085291,-4.124199
0.219500,2.083246,-4.089534
0.220000,2.081219,-4.055114
0.220500,2.079208,-4.020937
0.221000,2.077215,-3.987003
0.221500,2.075238,-3.953308
0.222000,2.073278,-3.919853
0.222500,2.071335,-3.886636
0.223000,2.069408,-3.853654
0.223500,2.067498,-3.820907
0.224000,2.065603,-3.788394
0.224500,2.063725,-3.756112
0.225000,2.061863,-3.724061
0.225500,2.060017,-3.692240
0.226000,2.058187,-3.660646
0.226500,2.056372,-3.629278
0.227000,2.054573,-3.598136
0.227500,2.052790,-3.567217
0.228000,2.051021,-3.536520
0.228500,2.049268,-3.506045
0.229000,2.047530,-3.475790
0.229500,2.045808,-3.445752
0.230000,2.044100,-3.415932
0.230500,2.042406,-3.386328
0.231000,2.040728,-3.356938
0.231500,2.039064,-3.327762
0.232000,2.037415,-3.298797
0.232500,2.035780,-3.270043
0.233000,2.034159,-3.241498
0.233500,2.032552,-3.213162
0.234000,2.030960,-3.185032
0.234500,2.029381,-3.157108
0.235000,2.027817,-3.129389
0.235500,2.026266,-3.101872
0.236000,2.024728,-3.074558
0.236500,2.023205,-3.047444
0.237000,2.021694,-3.020530
0.237500,2.020197,-2.993814
0.238000,2.018714,-2.967295
0.238500,2.017243,-2.940973
0.239000,2.015786,-2.914845
0.239500,2.014341,-2.888910
