time(s),hip_torque(Nm),hip_gravity_torque(Nm)
0.000000,-0.250000,-9.926401
0.000500,-0.500000,-9.926401
0.001000,-0.750000,-9.960498
0.001500,-1.000000,-9.985287
0.002000,-1.250000,-10.010462
0.002500,-1.500000,-10.036002
0.003000,-1.750000,-10.061878
0.003500,-2.000000,-10.088066
0.004000,-2.250000,-10.114535
0.004500,-2.500000,-10.141256
0.005000,-2.750000,-10.168200
0.005500,-3.000000,-10.195334
0.006000,-3.250000,-10.222628
0.006500,-3.500000,-10.250051
0.007000,-3.750000,-10.277570
0.007500,-4.000000,-10.305154
0.008000,-4.250000,-10.332772
0.008500,-4.500000,-10.360394
0.009000,-4.750000,-10.387989
0.009500,-5.000000,-10.415527
0.010000,-5.250000,-10.442979
0.010500,-5.500000,-10.470317
0.011000,-5.750000,-10.497514
0.011500,-6.000000,-10.524543
0.012000,-6.250000,-10.551377
0.012500,-6.500000,-10.577993
0.013000,-6.750000,-10.604367
0.013500,-7.000000,-10.630475
0.014000,-7.250000,-10.656296
0.014500,-7.500000,-10.681809
0.015000,-7.750000,-10.706994
0.015500,-8.000000,-10.731832
0.016000,-8.250000,-10.756305
0.016500,-8.500000,-10.780397
0.017000,-8.750000,-10.804092
0.017500,-9.000000,-10.827374
0.018000,-9.250000,-10.850229
0.018500,-9.500000,-10.872645
0.019000,-9.750000,-10.894609
0.019500,-10.000000,-10.916110
0.020000,-10.250000,-10.937136
0.020500,-10.500000,-10.957679
0.021000,-10.750000,-10.977729
0.021500,-11.000000,-10.997279
0.022000,-11.250000,-11.016319
0.022500,-11.500000,-11.034844
0.023000,-11.750000,-11.052848
0.023500,-12.000000,-11.070323
0.024000,-12.250000,-11.087267
0.024500,-12.500000,-11.103673
0.025000,-12.750000,-11.119538
0.025500,-13.000000,-11.134858
0.026000,-13.250000,-11.149631
0.026500,-13.500000,-11.163854
0.027000,-13.750000,-11.177524
0.027500,-14.000000,-11.190639
0.028000,-14.250000,-11.203199
0.028500,-14.500000,-11.215202
0.029000,-14.750000,-11.226648
0.029500,-15.000000,-11.237535
0.030000,-15.250000,-11.247864
0.030500,-15.500000,-11.257634
0.031000,-15.750000,-11.266847
0.031500,-16.000000,-11.275501
0.032000,-16.250000,-11.283598
0.032500,-16.500000,-11.291139
0.033000,-16.750000,-11.298124
0.033500,-17.000000,-11.304556
0.034000,-17.250000,-11.310434
0.034500,-17.500000,-11.315761
0.035000,-17.750000,-11.320537
0.035500,-18.000000,-11.324765
0.036000,-18.250000,-11.328446
0.036500,-18.500000,-11.331581
0.037000,-18.750000,-11.334173
0.037500,-19.000000,-11.336224
0.038000,-19.250000,-11.337734
0.038500,-19.500000,-11.338707
0.039000,-19.750000,-11.339145
0.039500,-20.000000,-11.339048
0.040000,-20.250000,-11.338419
0.040500,-20.500000,-11.337261
0.041000,-20.750000,-11.335574
0.041500,-21.000000,-11.333362
0.042000,-21.250000,-11.330627
0.042500,-21.500000,-11.327369
0.043000,-21.750000,-11.323592
0.043500,-22.000000,-11.319297
0.044000,-22.250000,-11.314487
0.044500,-22.500000,-11.309163
0.045000,-22.750000,-11.303327
0.045500,-23.000000,-11.296982
0.046000,-23.250000,-11.290129
0.046500,-23.500000,-11.282770
0.047000,-23.750000,-11.274907
0.047500,-24.000000,-11.266542
0.048000,-24.250000,-11.257677
0.048500,-24.500000,-11.248314
0.049000,-24.750000,-11.238454
0.049500,-24.572992,-11.228100
0.050000,-24.322992,-11.218126
0.050500,-24.072992,-11.208720
0.051000,-23.822992,-11.199920
0.051500,-23.572992,-11.191754
0.052000,-23.322992,-11.184244
0.052500,-23.072992,-11.177406
0.053000,-22.822992,-11.171252
0.053500,-22.572992,-11.165790
0.054000,-22.322992,-11.161022
0.054500,-22.072992,-11.156951
0.055000,-21.822992,-11.153577
0.055500,-21.572992,-11.150897
0.056000,-21.322992,-11.148907
0.056500,-21.490256,-11.147604
0.057000,-21.730376,-11.146190
0.057500,-21.900048,-11.144519
0.058000,-22.020767,-11.142711
0.058500,-22.107352,-11.140845
0.059000,-22.170022,-11.138975
0.059500,-22.215828,-11.137137
0.060000,-22.249634,-11.135355
0.060500,-22.274801,-11.133644
0.061000,-22.293659,-11.132014
0.061500,-22.307822,-11.130473
0.062000,-22.318416,-11.129024
0.062500,-22.326231,-11.127669
0.063000,-22.331824,-11.126410
0.063500,-22.335593,-11.125246
0.064000,-22.337825,-11.124179
0.064500,-22.338732,-11.123207
0.065000,-22.338473,-11.122331
0.065500,-22.337171,-11.121548
0.066000,-22.334923,-11.120859
0.066500,-22.331808,-11.120263
0.067000,-22.327893,-11.119758
0.067500,-22.323234,-11.119345
0.068000,-22.317882,-11.119021
0.068500,-22.311883,-11.118786
0.069000,-22.305278,-11.118640
0.069500,-22.298106,-11.118581
0.070000,-22.290404,-11.118608
0.070500,-22.282204,-11.118721
0.071000,-22.273540,-11.118919
0.071500,-22.264442,-11.119202
0.072000,-22.254939,-11.119567
0.072500,-22.245060,-11.120016
0.073000,-22.234831,-11.120546
0.073500,-22.224277,-11.121158
0.074000,-22.213424,-11.121850
0.074500,-22.202295,-11.122622
0.075000,-22.190913,-11.123473
0.075500,-22.179298,-11.124403
0.076000,-22.167472,-11.125411
0.076500,-22.155455,-11.126496
0.077000,-22.143265,-11.127657
0.077500,-22.130921,-11.128895
0.078000,-22.118440,-11.130209
0.078500,-22.105838,-11.131597
0.079000,-22.093132,-11.133060
0.079500,-22.080336,-11.134597
0.080000,-22.067465,-11.136207
0.080500,-22.054534,-11.137889
0.081000,-22.041554,-11.139644
0.081500,-22.028539,-11.141471
0.082000,-22.015501,-11.143369
0.082500,-22.002451,-11.145338
0.083000,-21.989400,-11.147376
0.083500,-21.976359,-11.149485
0.084000,-21.963336,-11.151663
0.084500,-21.950342,-11.153909
0.085000,-21.937386,-11.156224
0.085500,-21.924476,-11.158607
0.086000,-21.911619,-11.161057
0.086500,-21.898824,-11.163575
0.087000,-21.886098,-11.166158
0.087500,-21.873447,-11.168808
0.088000,-21.860878,-11.171523
0.088500,-21.848396,-11.174304
0.089000,-21.836009,-11.177149
